"ISO_A3","country_name","is_developed","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"IDN","Indonesia",FALSE,1,507614.21319797,1771970.3550719,2279584.56826987
"IND","India",FALSE,1,507614.21319797,1003919.26651182,1511533.47970979
"IRL","Ireland",TRUE,1,507614.21319797,4214.96278561347,511829.175983583
"IRN","Iran (Islamic Republic of)",FALSE,1,507614.21319797,504229.412983852,1011843.62618182
"IRQ","Iraq",FALSE,1,507614.21319797,415907.811596141,923522.02479411
"ISL","Iceland",TRUE,1,507614.21319797,1685.98511424539,509300.198312215
"ISR","Israel",TRUE,1,507614.21319797,26975.7618279262,534589.975025896
"ITA","Italy",TRUE,1,507614.21319797,46364.5906417482,553978.803839718
"JAM","Jamaica",FALSE,1,507614.21319797,654868.513449126,1162482.7266471
"JOR","Jordan",FALSE,1,507614.21319797,494298.373962808,1001912.58716078
"JPN","Japan",TRUE,1,507614.21319797,20231.8213709447,527846.034568914
"KAZ","Kazakhstan",FALSE,1,507614.21319797,436938.984743297,944553.197941267
"KEN","Kenya",FALSE,1,507614.21319797,626738.063510828,1134352.2767088
"KGZ","Kyrgyzstan",FALSE,1,507614.21319797,634729.926045422,1142344.13924339
"KHM","Cambodia",FALSE,1,507614.21319797,666630.346628835,1174244.5598268
"KIR","Kiribati",FALSE,1,507614.21319797,774397.770709354,1282011.98390732
"KNA","Saint Kitts and Nevis",FALSE,1,507614.21319797,758853.284068501,1266467.49726647
"KOR","Republic of Korea",TRUE,1,507614.21319797,4214.96278561347,511829.175983583
"KWT","Kuwait",FALSE,1,507614.21319797,6316.1212205413,513930.334418511
"LAO","Lao People's Democratic Republic",FALSE,1,507614.21319797,744760.763097707,1252374.97629568
"LBN","Lebanon",FALSE,1,507614.21319797,490341.951075367,997956.164273336
"LBR","Liberia",FALSE,1,507614.21319797,808770.71721408,1316384.93041205
"LBY","Libya",FALSE,1,507614.21319797,510265.900243595,1017880.11344157
"LCA","Saint Lucia",FALSE,1,507614.21319797,628050.53791078,1135664.75110875
"LIE","Liechtenstein",TRUE,1,507614.21319797,2528.97767136808,510143.190869338
"LKA","Sri Lanka",FALSE,1,507614.21319797,572319.386393426,1079933.5995914
"LSO","Lesotho",FALSE,1,507614.21319797,764397.065840451,1272011.27903842
"LTU","Lithuania",TRUE,1,507614.21319797,12644.8883568404,520259.10155481
"LUX","Luxembourg",TRUE,1,507614.21319797,2528.97767136808,510143.190869338
"LVA","Latvia",TRUE,1,507614.21319797,11801.8957997177,519416.108997687
"MAR","Morocco",FALSE,1,507614.21319797,518263.991850974,1025878.20504894
"MCO","Monaco",TRUE,1,507614.21319797,1685.98511424539,509300.198312215
"MDA","Republic of Moldova",FALSE,1,507614.21319797,626956.555438251,1134570.76863622
"MDG","Madagascar",FALSE,1,507614.21319797,965876.67454625,1473490.88774422
"MDV","Maldives",FALSE,1,507614.21319797,630512.233140135,1138126.4463381
"MEX","Mexico",FALSE,1,507614.21319797,1040792.75897762,1548406.97217559
"MHL","Marshall Islands",FALSE,1,507614.21319797,773086.044613558,1280700.25781153
"MKD","North Macedonia",FALSE,1,507614.21319797,635124.37218413,1142738.5853821
"MLI","Mali",FALSE,1,507614.21319797,698211.050832637,1205825.26403061
"MLT","Malta",TRUE,1,507614.21319797,842.992557122694,508457.205755092
"MMR","Myanmar",FALSE,1,507614.21319797,837265.970672061,1344880.18387003
"MNE","Montenegro",FALSE,1,507614.21319797,626617.956672884,1134232.16987085
"MNG","Mongolia",FALSE,1,507614.21319797,662328.430738967,1169942.64393694
"MOZ","Mozambique",FALSE,1,507614.21319797,721197.168676297,1228811.38187427
"MRT","Mauritania",FALSE,1,507614.21319797,638052.83591645,1145667.04911442
"MUS","Mauritius",FALSE,1,507614.21319797,642106.680329434,1149720.8935274
"MWI","Malawi",FALSE,1,507614.21319797,661121.541816139,1168735.75501411
"MYS","Malaysia",FALSE,1,507614.21319797,614674.727015375,1122288.94021334
"NAM","Namibia",FALSE,1,507614.21319797,695854.16395811,1203468.37715608
"NER","Niger",FALSE,1,507614.21319797,647989.016725743,1155603.22992371
"NGA","Nigeria",FALSE,1,507614.21319797,926615.497271177,1434229.71046915
"NIC","Nicaragua",FALSE,1,507614.21319797,665645.863514391,1173260.07671236
"NIU","Niue",FALSE,1,507614.21319797,759357.123177866,1266971.33637584
"NLD","Netherlands (Kingdom of the)",TRUE,1,507614.21319797,19388.828813822,527003.042011791
"NOR","Norway",TRUE,1,507614.21319797,14330.8734710858,521945.086669055
"NPL","Nepal",FALSE,1,507614.21319797,754242.767937253,1261856.98113522
"NRU","Nauru",FALSE,1,507614.21319797,761889.492739003,1269503.70593697
"NZL","New Zealand",TRUE,1,507614.21319797,8429.92557122694,516044.138769196
"OMN","Oman",FALSE,1,507614.21319797,40604.4950185334,548218.708216503
"PAK","Pakistan",FALSE,1,507614.21319797,484679.839497322,992294.052695292
"PAN","Panama",FALSE,1,507614.21319797,108123.640593476,615737.853791445
"PER","Peru",FALSE,1,507614.21319797,805404.281363749,1313018.49456172
"PHL","Philippines",FALSE,1,507614.21319797,784100.940510218,1291715.15370819
"PLW","Palau",FALSE,1,507614.21319797,773575.387432549,1281189.60063052
"PNG","Papua New Guinea",FALSE,1,507614.21319797,1638576.35779295,2146190.57099092
"POL","Poland",TRUE,1,507614.21319797,17702.8436995766,525317.056897546
"PRK","Democratic People's Republic of Korea",FALSE,1,507614.21319797,628276.067112423,1135890.28031039
"PRT","Portugal",TRUE,1,507614.21319797,8429.92557122694,516044.138769196
"PRY","Paraguay",FALSE,1,507614.21319797,528022.642733047,1035636.85593102
"PSE","State of Palestine",FALSE,1,507614.21319797,765915.343140904,1273529.55633887
"QAT","Qatar",FALSE,1,507614.21319797,2843.6018875961,510457.815085566
"ROU","Romania",TRUE,1,507614.21319797,17702.8436995766,525317.056897546
"RUS","Russian Federation",FALSE,1,507614.21319797,303212.682734527,810826.895932497
"RWA","Rwanda",FALSE,1,507614.21319797,634891.124299453,1142505.33749742
"SAU","Saudi Arabia",FALSE,1,507614.21319797,60031.5385545621,567645.751752532
"SDN","Sudan",FALSE,1,507614.21319797,729668.348573638,1237282.56177161
"SEN","Senegal",FALSE,1,507614.21319797,684815.831573407,1192430.04477138
"SGP","Singapore",FALSE,1,507614.21319797,385891.639022908,893505.852220877
"SLB","Solomon Islands",FALSE,1,507614.21319797,878584.519295447,1386198.73249342
"SLE","Sierra Leone",FALSE,1,507614.21319797,791516.662749347,1299130.87594732
"SLV","El Salvador",FALSE,1,507614.21319797,497075.452957598,1004689.66615557
"SMR","San Marino",TRUE,1,507614.21319797,842.992557122694,508457.205755092
"SOM","Somalia",FALSE,1,507614.21319797,679647.274422891,1187261.48762086
"SRB","Serbia",FALSE,1,507614.21319797,497411.374603957,1005025.58780193
"SSD","South Sudan",FALSE,1,507614.21319797,709530.862501645,1217145.07569961
"STP","Sao Tome and Principe",FALSE,1,507614.21319797,778733.116045297,1286347.32924327
"SUR","Suriname",FALSE,1,507614.21319797,652706.643606811,1160320.85680478
"SVK","Slovakia",TRUE,1,507614.21319797,9272.91812834964,516887.131326319
"SVN","Slovenia",TRUE,1,507614.21319797,9272.91812834964,516887.131326319
"SWE","Sweden",TRUE,1,507614.21319797,16859.8511424539,524474.064340423
"SWZ","Eswatini",FALSE,1,507614.21319797,624862.427859169,1132476.64105714
"SYC","Seychelles",FALSE,1,507614.21319797,647613.684639593,1155227.89783756
"SYR","Syrian Arab Republic",FALSE,1,507614.21319797,642422.997648622,1150037.21084659
"TCD","Chad",FALSE,1,507614.21319797,756273.235235588,1263887.44843356
"TGO","Togo",FALSE,1,507614.21319797,668256.570275269,1175870.78347324
"THA","Thailand",FALSE,1,507614.21319797,516328.118888594,1023942.33208656
"TJK","Tajikistan",FALSE,1,507614.21319797,640182.924040458,1147797.13723843
"TKM","Turkmenistan",FALSE,1,507614.21319797,502148.50593456,1009762.71913253
"TLS","Timor-Leste",FALSE,1,507614.21319797,784328.670006991,1291942.88320496
"TON","Tonga",FALSE,1,507614.21319797,777223.188417734,1284837.4016157
"TTO","Trinidad and Tobago",FALSE,1,507614.21319797,501262.897608743,1008877.11080671
"TUN","Tunisia",FALSE,1,507614.21319797,502868.468928031,1010482.682126
"TUR","Türkiye",FALSE,1,507614.21319797,473152.766057107,980766.979255076
"TUV","Tuvalu",FALSE,1,507614.21319797,762066.389567095,1269680.60276506
"TZA","United Republic of Tanzania",FALSE,1,507614.21319797,895058.485754709,1402672.69895268
"UGA","Uganda",FALSE,1,507614.21319797,694882.365238723,1202496.57843669
"UKR","Ukraine",FALSE,1,507614.21319797,521649.409323545,1029263.62252151
"URY","Uruguay",FALSE,1,507614.21319797,24089.5109301957,531703.724128165
"USA","United States of America",TRUE,1,507614.21319797,0,507614.21319797
"UZB","Uzbekistan",FALSE,1,507614.21319797,504416.283118797,1012030.49631677
"VCT","Saint Vincent and the Grenadines",FALSE,1,507614.21319797,764083.4086984,1271697.62189637
"VEN","Venezuela (Bolivarian Republic of)",FALSE,1,507614.21319797,750963.423030278,1258577.63622825
"VNM","Viet Nam",FALSE,1,507614.21319797,580047.988738578,1087662.20193655
"VUT","Vanuatu",FALSE,1,507614.21319797,879325.279949642,1386939.49314761
"WSM","Samoa",FALSE,1,507614.21319797,766595.048178817,1274209.26137679
"YEM","Yemen",FALSE,1,507614.21319797,674488.177662096,1182102.39086007
"ZAF","South Africa",FALSE,1,507614.21319797,601986.792490286,1109601.00568826
"ZMB","Zambia",FALSE,1,507614.21319797,696285.62532991,1203899.83852788
"ZWE","Zimbabwe",FALSE,1,507614.21319797,663952.18493623,1171566.3981342
