"ISO_A3","country_name","is_developed","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"IND","India",FALSE,1,507614.21319797,2732742.64169321,3240356.85489118
"IRL","Ireland",TRUE,1,507614.21319797,13666.1087160559,521280.321914025
"IRN","Iran (Islamic Republic of)",FALSE,1,507614.21319797,535065.00648779,1042679.21968576
"IRQ","Iraq",FALSE,1,507614.21319797,229170.56188348,736784.775081449
"ISL","Iceland",TRUE,1,507614.21319797,5466.44348642236,513080.656684392
"ISR","Israel",TRUE,1,507614.21319797,87463.0957827578,595077.308980727
"ITA","Italy",TRUE,1,507614.21319797,150327.195876615,657941.409074584
"JAM","Jamaica",FALSE,1,507614.21319797,207030.319018808,714644.532216777
"JOR","Jordan",FALSE,1,507614.21319797,187122.18625384,694736.39945181
"JPN","Japan",TRUE,1,507614.21319797,65597.3218370683,573211.535035038
"KAZ","Kazakhstan",FALSE,1,507614.21319797,245378.314593966,752992.527791935
"KEN","Kenya",FALSE,1,507614.21319797,788399.91613999,1296014.12933796
"KGZ","Kyrgyzstan",FALSE,1,507614.21319797,416012.614033941,923626.82723191
"KHM","Cambodia",FALSE,1,507614.21319797,433189.679207929,940803.892405899
"KIR","Kiribati",FALSE,1,507614.21319797,229272.272735752,736886.485933721
"KNA","Saint Kitts and Nevis",FALSE,1,507614.21319797,28963.3741490297,536577.587346999
"KOR","Republic of Korea",TRUE,1,507614.21319797,13666.1087160559,521280.321914025
"KWT","Kuwait",FALSE,1,507614.21319797,28288.0417745903,535902.25497256
"LAO","Lao People's Democratic Republic",FALSE,1,507614.21319797,724802.523232827,1232416.7364308
"LBN","Lebanon",FALSE,1,507614.21319797,205708.656950693,713322.870148662
"LBR","Liberia",FALSE,1,507614.21319797,1117078.43125518,1624692.64445315
"LBY","Libya",FALSE,1,507614.21319797,195872.151423996,703486.364621966
"LCA","Saint Lucia",FALSE,1,507614.21319797,74984.9078077533,582599.121005723
"LIE","Liechtenstein",TRUE,1,507614.21319797,8199.66522963354,515813.878427603
"LKA","Sri Lanka",FALSE,1,507614.21319797,480479.196283833,988093.409481802
"LSO","Lesotho",FALSE,1,507614.21319797,567079.777579804,1074693.99077777
"LTU","Lithuania",TRUE,1,507614.21319797,40998.3261481677,548612.539346137
"LUX","Luxembourg",TRUE,1,507614.21319797,8199.66522963354,515813.878427603
"LVA","Latvia",TRUE,1,507614.21319797,38265.1044049565,545879.317602926
"MAR","Morocco",FALSE,1,507614.21319797,292295.061963819,799909.275161788
"MCO","Monaco",TRUE,1,507614.21319797,5466.44348642236,513080.656684392
"MDA","Republic of Moldova",FALSE,1,507614.21319797,126343.725007435,633957.938205404
"MDG","Madagascar",FALSE,1,507614.21319797,2467128.34105786,2974742.55425583
"MDV","Maldives",FALSE,1,507614.21319797,89491.474742007,597105.687939977
"MEX","Mexico",FALSE,1,507614.21319797,2642366.29911698,3149980.51231495
"MHL","Marshall Islands",FALSE,1,507614.21319797,129954.881219044,637569.094417013
"MKD","North Macedonia",FALSE,1,507614.21319797,129339.826789254,636954.039987224
"MLI","Mali",FALSE,1,507614.21319797,929848.049263621,1437462.26246159
"MLT","Malta",TRUE,1,507614.21319797,2733.22174321118,510347.434941181
"MMR","Myanmar",FALSE,1,507614.21319797,1263168.93621302,1770783.14941098
"MNE","Montenegro",FALSE,1,507614.21319797,74611.919585484,582226.132783454
"MNG","Mongolia",FALSE,1,507614.21319797,272297.2753291,779911.48852707
"MOZ","Mozambique",FALSE,1,507614.21319797,1598682.59324728,2106296.80644525
"MRT","Mauritania",FALSE,1,507614.21319797,374243.080005738,881857.293203708
"MUS","Mauritius",FALSE,1,507614.21319797,119985.576469344,627599.789667314
"MWI","Malawi",FALSE,1,507614.21319797,1239109.62894996,1746723.84214793
"MYS","Malaysia",FALSE,1,507614.21319797,816079.053857872,1323693.26705584
"NAM","Namibia",FALSE,1,507614.21319797,400142.881256453,907757.094454423
"NER","Niger",FALSE,1,507614.21319797,1161769.71010325,1669383.92330122
"NGA","Nigeria",FALSE,1,507614.21319797,2034809.18799868,2542423.40119665
"NIC","Nicaragua",FALSE,1,507614.21319797,433665.790558951,941280.00375692
"NIU","Niue",FALSE,1,507614.21319797,7618.74254654575,515232.955744515
"NLD","Netherlands (Kingdom of the)",TRUE,1,507614.21319797,62864.1000938572,570478.313291827
"NOR","Norway",TRUE,1,507614.21319797,46464.7696345901,554078.98283256
"NPL","Nepal",FALSE,1,507614.21319797,910970.047853654,1418584.26105162
"NRU","Nauru",FALSE,1,507614.21319797,37584.5607630226,545198.773960992
"NZL","New Zealand",TRUE,1,507614.21319797,27332.2174321118,534946.430630081
"OMN","Oman",FALSE,1,507614.21319797,157621.085330762,665235.298528731
"PAK","Pakistan",FALSE,1,507614.21319797,811274.296095056,1318888.50929303
"PAN","Panama",FALSE,1,507614.21319797,380453.373023401,888067.58622137
"PER","Peru",FALSE,1,507614.21319797,1472942.23443125,1980556.44762922
"PHL","Philippines",FALSE,1,507614.21319797,1466103.66537224,1973717.87857021
"PLW","Palau",FALSE,1,507614.21319797,91780.248611484,599394.461809454
"PNG","Papua New Guinea",FALSE,1,507614.21319797,3542262.3597141,4049876.57291207
"POL","Poland",TRUE,1,507614.21319797,57397.6566074348,565011.869805404
"PRK","Democratic People's Republic of Korea",FALSE,1,507614.21319797,28877.2280028096,536491.441200779
"PRT","Portugal",TRUE,1,507614.21319797,27332.2174321118,534946.430630081
"PRY","Paraguay",FALSE,1,507614.21319797,252543.14608783,760157.3592858
"PSE","State of Palestine",FALSE,1,507614.21319797,180294.618000397,687908.831198367
"QAT","Qatar",FALSE,1,507614.21319797,9219.76646477415,516833.979662744
"ROU","Romania",TRUE,1,507614.21319797,57397.6566074348,565011.869805404
"RUS","Russian Federation",FALSE,1,507614.21319797,1022196.25171047,1529810.46490844
"RWA","Rwanda",FALSE,1,507614.21319797,731375.037987824,1238989.25118579
"SAU","Saudi Arabia",FALSE,1,507614.21319797,205023.122318614,712637.335516583
"SDN","Sudan",FALSE,1,507614.21319797,1393943.50923711,1901557.72243508
"SEN","Senegal",FALSE,1,507614.21319797,626693.680464935,1134307.8936629
"SGP","Singapore",FALSE,1,507614.21319797,25228.1071909243,532842.320388894
"SLB","Solomon Islands",FALSE,1,507614.21319797,733896.361348488,1241510.57454646
"SLE","Sierra Leone",FALSE,1,507614.21319797,895990.03717239,1403604.25037036
"SLV","El Salvador",FALSE,1,507614.21319797,180471.992883015,688086.206080985
"SMR","San Marino",TRUE,1,507614.21319797,2733.22174321118,510347.434941181
"SOM","Somalia",FALSE,1,507614.21319797,1336253.23024206,1843867.44344003
"SRB","Serbia",FALSE,1,507614.21319797,106391.508513933,614005.721711902
"SSD","South Sudan",FALSE,1,507614.21319797,292328.395657275,799942.608855244
"STP","Sao Tome and Principe",FALSE,1,507614.21319797,328115.865520923,835730.078718893
"SUR","Suriname",FALSE,1,507614.21319797,231859.248414807,739473.461612777
"SVK","Slovakia",TRUE,1,507614.21319797,30065.439175323,537679.652373292
"SVN","Slovenia",TRUE,1,507614.21319797,30065.439175323,537679.652373292
"SWE","Sweden",TRUE,1,507614.21319797,54664.4348642236,562278.648062193
