"ISO_A3","country_name","allocation"
"AFG","Afghanistan",4585885.07
"ALB","Albania",1916771.96
"DZA","Algeria",1044838.53
"AGO","Angola",3878996.52
"ATG","Antigua and Barbuda",7837398.71
"ARG","Argentina",3850343.52
"ARM","Armenia",2424853.36
"AZE","Azerbaijan",1065872.8
"BHS","Bahamas",1673183.73
"BHR","Bahrain",371418.21
"BGD","Bangladesh",2724340.37
"BRB","Barbados",2334150.52
"BLR","Belarus",642494.32
"BLZ","Belize",15854941.79
"BEN","Benin",4160489.28
"BTN","Bhutan",16228431.78
"BOL","Bolivia",4480607.11
"BIH","Bosnia-Herzegovina",1321417.37
"BWA","Botswana",2144156.48
"BRA","Brazil",19815747.03
"BRN","Brunei Darussalam",1071456.32
"BFA","Burkino Faso",4588613.56
"BDI","Burundi",15757460.99
"CPV","Cabo Verde",15484878.63
"KHM","Cambodia",2921051.87
"CMR","Cameroon",8615947.78
"CAF","Central African Republic",17364249.55
"TCD","Chad",5835257.3
"CHL","Chile",2424777.41
"CHN","China",16489843.23
"COL","Colombia",10768729.17
"COM","Comoros",15914642.77
"COG","Congo",4725962.11
"COK","Cook Islands",83521.46
"CRI","Costa Rica",2204392.44
"CIV","Cote d'Ivoire",1360799.4
"CUB","Cuba",1935987.21
"PRK","Dem. People's Rep.Korea",3277462.31
"COD","Dem. Rep.Congo",8573878.57
"DJI","Djibouti",7926160.05
"DMA","Dominica",15658066.83
"DOM","Dominican Republic",1131240.58
"ECU","Ecuador",5890664.14
"EGY","Egypt",890951.94
"SLV","El Salvador",1501050.99
"GNQ","Equatorial Guinea",2376859.77
"ERI","Eritrea",16026355.21
"SWZ","Eswatini",7852791.38
"ETH","Ethiopia",4902910.9
"FJI","Fiji",6123876.11
"GAB","Gabon",2814134.97
"GMB","Gambia",15886703.2
"GEO","Georgia",2349773.83
"GHA","Ghana",2769190.9
"GRD","Grenada",15614538.61
"GTM","Guatemala",2975169
"GIN","Guinea",5223997.25
"GNB","Guinea Bissau",16184854.55
"GUY","Guyana",2344589.56
"HTI","Haiti",3647547.76
"HND","Honduras",3253997.94
"IND","India",16161394.59
"IDN","Indonesia",28339746.24
"IRN","Iran (Islamic Republic of)",2843838.67
"IRQ","Iraq",899778.59
"JAM","Jamaica",2935987.24
"JOR","Jordan",1055112.12
"KAZ","Kazakhstan",1315432.9
"KEN","Kenya",3372548.22
"KIR","Kiribati",15840067.69
"KWT","Kuwait",212186.83
"KGZ","Kyrgyzstan",5470995.52
"LAO","Lao People's Dem. Rep.",5339014.8
"LBN","Lebanon",876003.85
"LSO","Lesotho",15633341.59
"LBR","Liberia",16539384.92
"LBY","Libya",978113.78
"MDG","Madagascar",10949944.21
"MWI","Malawi",6000057.3
"MYS","Malaysia",4924500.59
"MDV","Maldives",4098565.49
"MLI","Mali",4717124.38
"MHL","Marshall Islands",15813775.27
"MRT","Mauritania",5538427.48
"MUS","Mauritius",2012347.05
"MEX","Mexico",16410481.16
"FSM","Micronesia (Fed. States of)",886445.13
"MNG","Mongolia",4823189.56
"MNE","Montenegro",4083565.93
"MAR","Morocco",1034288.97
"MOZ","Mozambique",9817942.83
"MMR","Myanmar",6058202.13
"NAM","Namibia",3705371.07
"NRU","Nauru",15583127.11
"NPL","Nepal",4387962.98
"NIC","Nicaragua",4828007.91
"NER","Niger",4443113.13
"NGA","Nigeria",11431420.14
"NIU","Niue",0
"MKD","North Macedonia",2265814.56
"OMN","Oman",957451.61
"PAK","Pakistan",2284556
"PLW","Palau",15822166.62
"PAN","Panama",2399075.78
"PNG","Papua New Guinea",22568123.53
"PRY","Paraguay",1618851.61
"PER","Peru",8851834.71
"PHL","Philippines",8562037.35
"QAT","Qatar",120060.15
"MDA","Republic of Moldova",2730506.63
"RUS","Russian Federation",6469656.58
"RWA","Rwanda",5474292.89
"KNA","Saint Kitts and Nevis",15522638.62
"LCA","Saint Lucia",7919623.75
"VCT","Saint Vincent & Grenadines",15629622.85
"WSM","Samoa",15680459.97
"STP","Sao Tome y Principe",15927669.96
"SAU","Saudi Arabia",1249610.22
"SEN","Senegal",3541000.39
"SRB","Serbia",783604.98
"SYC","Seychelles",8319256.07
"SLE","Sierra Leone",16210703.1
"SGP","Singapore",178902.88
"SLB","Solomon Islands",17946954.32
"SOM","Somalia",8985825.4
"ZAF","South Africa",4676516.35
"SSD","South Sudan",4961064.23
"LKA","Sri Lanka",2257047.44
"PSE","State of Palestine",133634.34
"SDN","Sudan",4202929.2
"SUR","Suriname",8446593.59
"SYR","Syrian Arab Republic",3058188.52
"TJK","Tajikistan",5644500.84
"THA","Thailand",2853065.05
"TLS","Timor Leste",16049123.42
"TGO","Togo",8714541.9
"TON","Tonga",15896783.81
"TTO","Trinidad and Tobago",865843.84
"TUN","Tunisia",1302666.42
"TUR","Turkiye",940536.26
"TKM","Turkmenistan",841077.98
"TUV","Tuvalu",15587824.5
"UGA","Uganda",3076771.03
"UKR","Ukraine",1008296.13
"ARE","United Arab Emirates",267449.45
"TZA","United Rep. Tanzania",7244146.6
"URY","Uruguay",683691.51
"UZB","Uzbekistan",1116551.81
"VUT","Vanuatu",18038057.45
"VEN","Venezuela",5764261.78
"VNM","Viet Nam",4238614.59
"YEM","Yemen",6395801.56
"ZMB","Zambia",4143246.59
"ZWE","Zimbabwe",3109389.96
