"ISO_A3","country_name","allocation"
"AFG","Afghanistan",1348488.64
"ALB","Albania",1028090.45
"DZA","Algeria",972865.34
"AGO","Angola",1371512.59
"ATG","Antigua and Barbuda",1648312.47
"ARG","Argentina",1544833.52
"ARM","Armenia",1075836.16
"AZE","Azerbaijan",935707.42
"BHS","Bahamas",1055814.15
"BHR","Bahrain",853925.73
"BGD","Bangladesh",1133246.92
"BRB","Barbados",1069036.26
"BLR","Belarus",884645.72
"BLZ","Belize",2512282.43
"BEN","Benin",1264045.35
"BTN","Bhutan",2543496.18
"BOL","Bolivia",1535761.82
"BIH","Bosnia-Herzegovina",959745.54
"BWA","Botswana",1073222.1
"BRA","Brazil",4370211.25
"BRN","Brunei Darussalam",932435.33
"BFA","Burkino Faso",1306783.07
"BDI","Burundi",2486435.74
"CPV","Cabo Verde",2444795.55
"KHM","Cambodia",1174428.8
"CMR","Cameroon",1945198.02
"CAF","Central African Republic",2675608.97
"TCD","Chad",1458748.88
"CHL","Chile",1288910.61
"CHN","China",3460112.79
"COL","Colombia",2831803.78
"COM","Comoros",2528398.54
"COG","Congo",1356894.45
"COK","Cook Islands",820496.87
"CRI","Costa Rica",1224391.57
"CIV","Cote d'Ivoire",1030752.87
"CUB","Cuba",1201454.43
"PRK","Dem. People's Rep.Korea",1172921.56
"COD","Dem. Rep.Congo",2014743.42
"DJI","Djibouti",1659987.99
"DMA","Dominica",2479564.3
"DOM","Dominican Republic",1021427.19
"ECU","Ecuador",1978067.93
"EGY","Egypt",964298.57
"SLV","El Salvador",992185.39
"GNQ","Equatorial Guinea",1089591.86
"ERI","Eritrea",2534344.84
"SWZ","Eswatini",1646274.1
"ETH","Ethiopia",1488830.24
"FJI","Fiji",1536176.25
"GAB","Gabon",1168796.12
"GMB","Gambia",2496079.58
"GEO","Georgia",1074851
"GHA","Ghana",1157898.07
"GRD","Grenada",2472144.63
"GTM","Guatemala",1287543.13
"GIN","Guinea",1411996.02
"GNB","Guinea Bissau",2534304.46
"GUY","Guyana",1112036.33
"HTI","Haiti",1303661.33
"HND","Honduras",1315435.71
"IND","India",3222075.67
"IDN","Indonesia",5433636.83
"IRN","Iran (Islamic Republic of)",1210076
"IRQ","Iraq",932717.73
"JAM","Jamaica",1192457.83
"JOR","Jordan",931889.14
"KAZ","Kazakhstan",1029199.96
"KEN","Kenya",1329253.38
"KIR","Kiribati",2517953.61
"KWT","Kuwait",838599.39
"KGZ","Kyrgyzstan",1407273.17
"LAO","Lao People's Dem. Rep.",1454320.95
"LBN","Lebanon",911738.69
"LSO","Lesotho",2467302.17
"LBR","Liberia",2596753.32
"LBY","Libya",947303.97
"MDG","Madagascar",2684949.31
"MWI","Malawi",1483633.55
"MYS","Malaysia",1604127.01
"MDV","Maldives",1267980.25
"MLI","Mali",1337413.19
"MHL","Marshall Islands",2514169.48
"MRT","Mauritania",1419734.83
"MUS","Mauritius",1071152.29
"MEX","Mexico",3653423.71
"FSM","Micronesia (Fed. States of)",966954.74
"MNG","Mongolia",1380305.31
"MNE","Montenegro",1250722.7
"MAR","Morocco",972301.52
"MOZ","Mozambique",1986790.18
"MMR","Myanmar",1649714.53
"NAM","Namibia",1298368.62
"NRU","Nauru",2460233.89
"NPL","Nepal",1332646.41
"NIC","Nicaragua",1400700.47
"NER","Niger",1298374.34
"NGA","Nigeria",2130412.07
"NIU","Niue",811688.31
"MKD","North Macedonia",1057360.61
"OMN","Oman",976620.64
"PAK","Pakistan",1127102.81
"PLW","Palau",2510654.32
"PAN","Panama",1268865.63
"PNG","Papua New Guinea",3757475.58
"PRY","Paraguay",1024088.46
"PER","Peru",2429786.65
"PHL","Philippines",2265972.11
"QAT","Qatar",828666.37
"MDA","Republic of Moldova",1099660.22
"RUS","Russian Federation",1844428.19
"RWA","Rwanda",1407968.68
"KNA","Saint Kitts and Nevis",2452760.23
"LCA","Saint Lucia",1665656.14
"VCT","Saint Vincent & Grenadines",2475326.34
"WSM","Samoa",2484287.66
"STP","Sao Tome y Principe",2532908.07
"SAU","Saudi Arabia",1049343.4
"SEN","Senegal",1239034.06
"SRB","Serbia",904514.66
"SYC","Seychelles",1748188.59
"SLE","Sierra Leone",2550326.95
"SGP","Singapore",833764.25
"SLB","Solomon Islands",2826705.87
"SOM","Somalia",1869408.75
"ZAF","South Africa",1710638.74
"SSD","South Sudan",1373011.84
"LKA","Sri Lanka",1236060.15
"PSE","State of Palestine",825782.01
"SDN","Sudan",1307400.72
"SUR","Suriname",1738051.84
"SYR","Syrian Arab Republic",1149399.1
"TJK","Tajikistan",1420968.26
"THA","Thailand",1260791.7
"TLS","Timor Leste",2525053.63
"TGO","Togo",1743480.34
"TON","Tonga",2526393.27
"TTO","Trinidad and Tobago",937864.36
"TUN","Tunisia",974667.2
"TUR","Turkiye",1007772.38
"TKM","Turkmenistan",924432.75
"TUV","Tuvalu",2464748.13
"UGA","Uganda",1189967.75
"UKR","Ukraine",947765.94
"ARE","United Arab Emirates",856529.04
"TZA","United Rep. Tanzania",1912196.94
"URY","Uruguay",921213.55
"UZB","Uzbekistan",949284.79
"VUT","Vanuatu",2756074.86
"VEN","Venezuela",1887679.19
"VNM","Viet Nam",1477093.98
"YEM","Yemen",1572392.74
"ZMB","Zambia",1323656.55
"ZWE","Zimbabwe",1188514.16
