"ISO_A3","country_name","allocation"
"AFG","Afghanistan",5393954.57
"ALB","Albania",4112361.78
"DZA","Algeria",3891461.35
"AGO","Angola",5486050.36
"ATG","Antigua and Barbuda",6593249.87
"ARG","Argentina",6179334.07
"ARM","Armenia",4303344.64
"AZE","Azerbaijan",3742829.66
"BHS","Bahamas",4223256.62
"BHR","Bahrain",3415702.93
"BGD","Bangladesh",4532987.7
"BRB","Barbados",4276145.04
"BLR","Belarus",3538582.87
"BLZ","Belize",10049129.72
"BEN","Benin",5056181.39
"BTN","Bhutan",10173984.71
"BOL","Bolivia",6143047.26
"BIH","Bosnia-Herzegovina",3838982.15
"BWA","Botswana",4292888.38
"BRA","Brazil",17480844.99
"BRN","Brunei Darussalam",3729741.33
"BFA","Burkino Faso",5227132.28
"BDI","Burundi",9945742.95
"CPV","Cabo Verde",9779182.18
"KHM","Cambodia",4697715.21
"CMR","Cameroon",7780792.09
"CAF","Central African Republic",10702435.88
"TCD","Chad",5834995.51
"CHL","Chile",5155642.44
"CHN","China",13840451.16
"COL","Colombia",11327215.1
"COM","Comoros",10113594.16
"COG","Congo",5427577.79
"COK","Cook Islands",3281987.49
"CRI","Costa Rica",4897566.29
"CIV","Cote d'Ivoire",4123011.48
"CUB","Cuba",4805817.73
"PRK","Dem. People's Rep.Korea",4691686.22
"COD","Dem. Rep.Congo",8058973.7
"DJI","Djibouti",6639951.94
"DMA","Dominica",9918257.18
"DOM","Dominican Republic",4085708.75
"ECU","Ecuador",7912271.71
"EGY","Egypt",3857194.27
"SLV","El Salvador",3968741.56
"GNQ","Equatorial Guinea",4358367.42
"ERI","Eritrea",10137379.38
"SWZ","Eswatini",6585096.38
"ETH","Ethiopia",5955320.96
"FJI","Fiji",6144704.99
"GAB","Gabon",4675184.49
"GMB","Gambia",9984318.33
"GEO","Georgia",4299403.99
"GHA","Ghana",4631592.3
"GRD","Grenada",9888578.53
"GTM","Guatemala",5150172.52
"GIN","Guinea",5647984.09
"GNB","Guinea Bissau",10137217.86
"GUY","Guyana",4448145.33
"HTI","Haiti",5214645.34
"HND","Honduras",5261742.84
"IND","India",12888302.68
"IDN","Indonesia",21734547.33
"IRN","Iran (Islamic Republic of)",4840304
"IRQ","Iraq",3730870.93
"JAM","Jamaica",4769831.31
"JOR","Jordan",3727556.54
"KAZ","Kazakhstan",4116799.85
"KEN","Kenya",5317013.52
"KIR","Kiribati",10071814.43
"KWT","Kuwait",3354397.57
"KGZ","Kyrgyzstan",5629092.67
"LAO","Lao People's Dem. Rep.",5817283.78
"LBN","Lebanon",3646954.77
"LSO","Lesotho",9869208.68
"LBR","Liberia",10387013.27
"LBY","Libya",3789215.89
"MDG","Madagascar",10739797.22
"MWI","Malawi",5934534.21
"MYS","Malaysia",6416508.06
"MDV","Maldives",5071920.99
"MLI","Mali",5349652.76
"MHL","Marshall Islands",10056677.92
"MRT","Mauritania",5678939.33
"MUS","Mauritius",4284609.16
"MEX","Mexico",14613694.86
"FSM","Micronesia (Fed. States of)",3867818.94
"MNG","Mongolia",5521221.23
"MNE","Montenegro",5002890.81
"MAR","Morocco",3889206.07
"MOZ","Mozambique",7947160.73
"MMR","Myanmar",6598858.1
"NAM","Namibia",5193474.49
"NRU","Nauru",9840935.56
"NPL","Nepal",5330585.64
"NIC","Nicaragua",5602801.89
"NER","Niger",5193497.37
"NGA","Nigeria",8521648.26
"NIU","Niue",3246753.25
"MKD","North Macedonia",4229442.43
"OMN","Oman",3906482.57
"PAK","Pakistan",4508411.24
"PLW","Palau",10042617.3
"PAN","Panama",5075462.53
"PNG","Papua New Guinea",15029902.32
"PRY","Paraguay",4096353.84
"PER","Peru",9719146.6
"PHL","Philippines",9063888.43
"QAT","Qatar",3314665.47
"MDA","Republic of Moldova",4398640.9
"RUS","Russian Federation",7377712.77
"RWA","Rwanda",5631874.73
"KNA","Saint Kitts and Nevis",9811040.93
"LCA","Saint Lucia",6662624.55
"VCT","Saint Vincent & Grenadines",9901305.36
"WSM","Samoa",9937150.66
"STP","Sao Tome y Principe",10131632.28
"SAU","Saudi Arabia",4197373.61
"SEN","Senegal",4956136.24
"SRB","Serbia",3618058.62
"SYC","Seychelles",6992754.34
"SLE","Sierra Leone",10201307.82
"SGP","Singapore",3335056.99
"SLB","Solomon Islands",11306823.48
"SOM","Somalia",7477634.99
"ZAF","South Africa",6842554.96
"SSD","South Sudan",5492047.35
"LKA","Sri Lanka",4944240.62
"PSE","State of Palestine",3303128.04
"SDN","Sudan",5229602.9
"SUR","Suriname",6952207.37
"SYR","Syrian Arab Republic",4597596.4
"TJK","Tajikistan",5683873.06
"THA","Thailand",5043166.82
"TLS","Timor Leste",10100214.51
"TGO","Togo",6973921.34
"TON","Tonga",10105573.1
"TTO","Trinidad and Tobago",3751457.45
"TUN","Tunisia",3898668.79
"TUR","Turkiye",4031089.53
"TKM","Turkmenistan",3697730.98
"TUV","Tuvalu",9858992.52
"UGA","Uganda",4759871.01
"UKR","Ukraine",3791063.77
"ARE","United Arab Emirates",3426116.16
"TZA","United Rep. Tanzania",7648787.75
"URY","Uruguay",3684854.18
"UZB","Uzbekistan",3797139.16
"VUT","Vanuatu",11024299.46
"VEN","Venezuela",7550716.77
"VNM","Viet Nam",5908375.92
"YEM","Yemen",6289570.97
"ZMB","Zambia",5294626.2
"ZWE","Zimbabwe",4754056.64
