"ISO_A3","country_name","allocation"
"AFG","Afghanistan",45159.56
"ALB","Albania",18875.44
"DZA","Algeria",10289.06
"AGO","Angola",38198.47
"ATG","Antigua and Barbuda",77178.88
"ARG","Argentina",37916.31
"ARM","Armenia",23878.77
"AZE","Azerbaijan",10496.2
"BHS","Bahamas",16476.7
"BHR","Bahrain",3657.55
"BGD","Bangladesh",26827.98
"BRB","Barbados",22985.58
"BLR","Belarus",6326.97
"BLZ","Belize",156131.74
"BEN","Benin",40970.47
"BTN","Bhutan",159809.68
"BOL","Bolivia",44122.83
"BIH","Bosnia-Herzegovina",13012.67
"BWA","Botswana",21114.61
"BRA","Brazil",195135.82
"BRN","Brunei Darussalam",10551.18
"BFA","Burkino Faso",45186.43
"BDI","Burundi",155171.79
"CPV","Cabo Verde",152487.54
"KHM","Cambodia",28765.09
"CMR","Cameroon",84845.65
"CAF","Central African Republic",170994.66
"TCD","Chad",57462.77
"CHL","Chile",23878.03
"CHN","China",162383.94
"COL","Colombia",106045.19
"COM","Comoros",156719.64
"COG","Congo",46538.97
"COK","Cook Islands",822.48
"CRI","Costa Rica",21707.78
"CIV","Cote d'Ivoire",89644.26
"CUB","Cuba",19064.66
"PRK","Dem. People's Rep.Korea",32274.85
"COD","Dem. Rep.Congo",84431.38
"DJI","Djibouti",78052.96
"DMA","Dominica",154193.01
"DOM","Dominican Republic",11139.91
"ECU","Ecuador",58008.39
"EGY","Egypt",8773.66
"SLV","El Salvador",14781.62
"GNQ","Equatorial Guinea",23406.16
"ERI","Eritrea",157819.73
"SWZ","Eswatini",77330.46
"ETH","Ethiopia",48281.48
"FJI","Fiji",60304.95
"GAB","Gabon",27712.23
"GMB","Gambia",156444.51
"GEO","Georgia",23139.43
"GHA","Ghana",27269.64
"GRD","Grenada",153764.36
"GTM","Guatemala",29298.01
"GIN","Guinea",51443.38
"GNB","Guinea Bissau",159380.56
"GUY","Guyana",23088.37
"HTI","Haiti",35919.27
"HND","Honduras",32043.79
"IND","India",159149.53
"IDN","Indonesia",279076
"IRN","Iran (Islamic Republic of)",28004.74
"IRQ","Iraq",8860.58
"JAM","Jamaica",28912.17
"JOR","Jordan",10390.23
"KAZ","Kazakhstan",12953.74
"KEN","Kenya",33211.21
"KIR","Kiribati",155985.26
"KWT","Kuwait",2089.51
"KGZ","Kyrgyzstan",53875.7
"LAO","Lao People's Dem. Rep.",52576.01
"LBN","Lebanon",8626.46
"LSO","Lesotho",153949.53
"LBR","Liberia",162871.8
"LBY","Libya",9631.99
"MDG","Madagascar",107829.71
"MWI","Malawi",59085.64
"MYS","Malaysia",48494.08
"MDV","Maldives",40360.67
"MLI","Mali",46451.94
"MHL","Marshall Islands",155726.35
"MRT","Mauritania",54539.73
"MUS","Mauritius",19816.61
"MEX","Mexico",161602.42
"FSM","Micronesia (Fed. States of)",8729.28
"MNG","Mongolia",47496.42
"MNE","Montenegro",40212.97
"MAR","Morocco",10185.17
"MOZ","Mozambique",96682.31
"MMR","Myanmar",59658.22
"NAM","Namibia",36488.69
"NRU","Nauru",153455.04
"NPL","Nepal",43210.52
"NIC","Nicaragua",47543.87
"NER","Niger",43753.61
"NGA","Nigeria",112571.05
"NIU","Niue",0
"MKD","North Macedonia",22312.64
"OMN","Oman",9428.52
"PAK","Pakistan",22497.19
"PLW","Palau",155808.98
"PAN","Panama",23624.93
"PNG","Papua New Guinea",222239.88
"PRY","Paraguay",15941.66
"PER","Peru",87168.55
"PHL","Philippines",84314.77
"QAT","Qatar",1182.29
"MDA","Republic of Moldova",26888.7
"RUS","Russian Federation",63710.02
"RWA","Rwanda",53908.17
"KNA","Saint Kitts and Nevis",152859.38
"LCA","Saint Lucia",77988.59
"VCT","Saint Vincent & Grenadines",153912.91
"WSM","Samoa",154413.52
"STP","Sao Tome y Principe",156847.93
"SAU","Saudi Arabia",12305.55
"SEN","Senegal",34870.05
"SRB","Serbia",7716.56
"SYC","Seychelles",81923.98
"SLE","Sierra Leone",159635.1
"SGP","Singapore",1761.75
"SLB","Solomon Islands",176732.86
"SOM","Somalia",88488.03
"ZAF","South Africa",46052.05
"SSD","South Sudan",48854.14
"LKA","Sri Lanka",22226.3
"PSE","State of Palestine",1315.97
"SDN","Sudan",41388.4
"SUR","Suriname",83177.94
"SYR","Syrian Arab Republic",30115.55
"TJK","Tajikistan",55584.29
"THA","Thailand",28095.59
"TLS","Timor Leste",158043.94
"TGO","Togo",85816.56
"TON","Tonga",156543.78
"TTO","Trinidad and Tobago",8526.41
"TUN","Tunisia",12828.02
"TUR","Turkiye",85505.71
"TKM","Turkmenistan",8282.53
"TUV","Tuvalu",153501.3
"UGA","Uganda",30298.54
"UKR","Ukraine",9929.21
"ARE","United Arab Emirates",2633.71
"TZA","United Rep. Tanzania",71336.82
"URY","Uruguay",6732.66
"UZB","Uzbekistan",10995.26
"VUT","Vanuatu",177630
"VEN","Venezuela",56763.64
"VNM","Viet Nam",41739.81
"YEM","Yemen",62982.74
"ZMB","Zambia",40800.67
"ZWE","Zimbabwe",30619.76
