"ISO_A3","country_name","allocation"
"AFG","Afghanistan",1073600.66
"ALB","Albania",432804.27
"DZA","Algeria",322354.05
"AGO","Angola",1119648.56
"ATG","Antigua and Barbuda",1673248.31
"ARG","Argentina",1466290.41
"ARM","Armenia",528295.69
"AZE","Azerbaijan",248038.21
"BHS","Bahamas",488251.68
"BHR","Bahrain",84474.84
"BGD","Bangladesh",643117.23
"BRB","Barbados",514695.9
"BLR","Belarus",145914.81
"BLZ","Belize",3401188.24
"BEN","Benin",904714.07
"BTN","Bhutan",3463615.73
"BOL","Bolivia",1448147.01
"BIH","Bosnia-Herzegovina",296114.45
"BWA","Botswana",523067.57
"BRA","Brazil",7117045.87
"BRN","Brunei Darussalam",241494.04
"BFA","Burkino Faso",990189.51
"BDI","Burundi",3349494.85
"CPV","Cabo Verde",3266214.47
"KHM","Cambodia",725480.98
"CMR","Cameroon",2267019.42
"CAF","Central African Republic",3727841.32
"TCD","Chad",1294121.13
"CHL","Chile",954444.6
"CHN","China",5296848.96
"COL","Colombia",4040230.93
"COM","Comoros",3433420.46
"COG","Congo",1090412.27
"COK","Cook Islands",17617.12
"CRI","Costa Rica",825406.52
"CIV","Cote d'Ivoire",438129.12
"CUB","Cuba",779532.24
"PRK","Dem. People's Rep.Korea",722466.49
"COD","Dem. Rep.Congo",2406110.22
"DJI","Djibouti",1696599.35
"DMA","Dominica",3335751.97
"DOM","Dominican Republic",419477.75
"ECU","Ecuador",2332759.23
"EGY","Egypt",305220.51
"SLV","El Salvador",360994.16
"GNQ","Equatorial Guinea",555807.09
"ERI","Eritrea",3445313.06
"SWZ","Eswatini",1669171.57
"ETH","Ethiopia",1354283.86
"FJI","Fiji",1448975.87
"GAB","Gabon",714215.62
"GMB","Gambia",3368782.54
"GEO","Georgia",526325.37
"GHA","Ghana",692419.52
"GRD","Grenada",3320912.64
"GTM","Guatemala",951709.64
"GIN","Guinea",1200615.42
"GNB","Guinea Bissau",3445232.31
"GUY","Guyana",600696.04
"HTI","Haiti",983946.04
"HND","Honduras",1007494.8
"IND","India",4820774.72
"IDN","Indonesia",9243897.04
"IRN","Iran (Islamic Republic of)",796775.38
"IRQ","Iraq",242058.84
"JAM","Jamaica",761539.03
"JOR","Jordan",240401.65
"KAZ","Kazakhstan",435023.3
"KEN","Kenya",1035130.13
"KIR","Kiribati",3412530.59
"KWT","Kuwait",53822.16
"KGZ","Kyrgyzstan",1191169.71
"LAO","Lao People's Dem. Rep.",1285265.27
"LBN","Lebanon",200100.76
"LSO","Lesotho",3311227.72
"LBR","Liberia",3570130.01
"LBY","Libya",271231.32
"MDG","Madagascar",3746521.99
"MWI","Malawi",1343890.48
"MYS","Malaysia",1584877.4
"MDV","Maldives",912583.87
"MLI","Mali",1051449.75
"MHL","Marshall Islands",3404962.33
"MRT","Mauritania",1216093.04
"MUS","Mauritius",518927.96
"MEX","Mexico",5683470.8
"FSM","Micronesia (Fed. States of)",310532.85
"MNG","Mongolia",1137233.99
"MNE","Montenegro",878068.78
"MAR","Morocco",321226.41
"MOZ","Mozambique",2350203.74
"MMR","Myanmar",1676052.43
"NAM","Namibia",973360.62
"NRU","Nauru",3297091.15
"NPL","Nepal",1041916.2
"NIC","Nicaragua",1178024.32
"NER","Niger",973372.06
"NGA","Nigeria",2637447.51
"NIU","Niue",0
"MKD","North Macedonia",491344.59
"OMN","Oman",329864.66
"PAK","Pakistan",630829
"PLW","Palau",3397932.03
"PAN","Panama",914354.64
"PNG","Papua New Guinea",5891574.54
"PRY","Paraguay",424800.3
"PER","Peru",3236196.67
"PHL","Philippines",2908567.59
"QAT","Qatar",33956.11
"MDA","Republic of Moldova",575943.83
"RUS","Russian Federation",2065479.76
"RWA","Rwanda",1192560.74
"KNA","Saint Kitts and Nevis",3282143.84
"LCA","Saint Lucia",1707935.65
"VCT","Saint Vincent & Grenadines",3327276.06
"WSM","Samoa",3345198.71
"STP","Sao Tome y Principe",3442439.52
"SAU","Saudi Arabia",475310.18
"SEN","Senegal",854691.49
"SRB","Serbia",185652.69
"SYC","Seychelles",1873000.55
"SLE","Sierra Leone",3477277.29
"SGP","Singapore",44151.87
"SLB","Solomon Islands",4030035.12
"SOM","Somalia",2115440.87
"ZAF","South Africa",1797900.86
"SSD","South Sudan",1122647.05
"LKA","Sri Lanka",848743.69
"PSE","State of Palestine",28187.4
"SDN","Sudan",991424.82
"SUR","Suriname",1852727.06
"SYR","Syrian Arab Republic",675421.58
"TJK","Tajikistan",1218559.91
"THA","Thailand",898206.78
"TLS","Timor Leste",3426730.63
"TGO","Togo",1863584.05
"TON","Tonga",3429409.93
"TTO","Trinidad and Tobago",252352.1
"TUN","Tunisia",325957.77
"TUR","Turkiye",392168.14
"TKM","Turkmenistan",225488.87
"TUV","Tuvalu",3306119.64
"UGA","Uganda",756558.88
"UKR","Ukraine",272155.26
"ARE","United Arab Emirates",89681.46
"TZA","United Rep. Tanzania",2201017.25
"URY","Uruguay",219050.47
"UZB","Uzbekistan",275192.96
"VUT","Vanuatu",3888773.11
"VEN","Venezuela",2151981.76
"VNM","Viet Nam",1330811.34
"YEM","Yemen",1521408.86
"ZMB","Zambia",1023936.48
"ZWE","Zimbabwe",753651.69
