"ISO_A3","country_name","allocation"
"AFG","Afghanistan",5504731.27
"ALB","Albania",4190525.04
"DZA","Algeria",3761206.27
"AGO","Angola",5156676.57
"ATG","Antigua and Barbuda",7105697.32
"ARG","Argentina",5142568.54
"ARM","Armenia",4440691.93
"AZE","Azerbaijan",3771563.03
"BHS","Bahamas",4070588.13
"BHR","Bahrain",3429630.52
"BGD","Bangladesh",4588152.03
"BRB","Barbados",4396032.07
"BLR","Belarus",3563101.79
"BLZ","Belize",11053340.09
"BEN","Benin",5295276.75
"BTN","Bhutan",11237237.46
"BOL","Bolivia",5452894.97
"BIH","Bosnia-Herzegovina",3897386.95
"BWA","Botswana",4302483.63
"BRA","Brazil",13003544.04
"BRN","Brunei Darussalam",3774312.22
"BFA","Burkino Faso",5506074.71
"BDI","Burundi",11005342.92
"CPV","Cabo Verde",10871130.02
"KHM","Cambodia",4685007.98
"CMR","Cameroon",7489035.9
"CAF","Central African Republic",11796486.44
"TCD","Chad",6119891.7
"CHL","Chile",4440654.54
"CHN","China",11365950.08
"COL","Colombia",8549012.99
"COM","Comoros",11082735.4
"COG","Congo",5573701.79
"COK","Cook Islands",3287877.18
"CRI","Costa Rica",4332142.35
"CIV","Cote d'Ivoire",7728966.08
"CUB","Cuba",4199986.15
"PRK","Dem. People's Rep.Korea",4860495.8
"COD","Dem. Rep.Congo",7468322.05
"DJI","Djibouti",7149401.24
"DMA","Dominica",10956403.66
"DOM","Dominican Republic",3803748.53
"ECU","Ecuador",6147172.67
"EGY","Egypt",3685436.26
"SLV","El Salvador",3985834.17
"GNQ","Equatorial Guinea",4417061.06
"ERI","Eritrea",11137739.88
"SWZ","Eswatini",7113276.3
"ETH","Ethiopia",5660827.05
"FJI","Fiji",6262000.56
"GAB","Gabon",4632364.71
"GMB","Gambia",11068978.63
"GEO","Georgia",4403724.6
"GHA","Ghana",4610235.34
"GRD","Grenada",10934971.43
"GTM","Guatemala",4711653.94
"GIN","Guinea",5818922.15
"GNB","Guinea Bissau",11215781.09
"GUY","Guyana",4401171.99
"HTI","Haiti",5042716.85
"HND","Honduras",4848942.51
"IND","India",11204229.98
"IDN","Indonesia",17200553.46
"IRN","Iran (Islamic Republic of)",4646990.08
"IRQ","Iraq",3689782.29
"JAM","Jamaica",4692361.79
"JOR","Jordan",3766264.73
"KAZ","Kazakhstan",3894440.34
"KEN","Kenya",4907313.78
"KIR","Kiribati",11046016.45
"KWT","Kuwait",3351228.87
"KGZ","Kyrgyzstan",5940538.07
"LAO","Lao People's Dem. Rep.",5875553.99
"LBN","Lebanon",3678076.19
"LSO","Lesotho",10944229.56
"LBR","Liberia",11390343.2
"LBY","Libya",3728352.63
"MDG","Madagascar",8638238.85
"MWI","Malawi",6201035.2
"MYS","Malaysia",5671457.29
"MDV","Maldives",5264786.99
"MLI","Mali",5569350.3
"MHL","Marshall Islands",11033070.7
"MRT","Mauritania",5973739.93
"MUS","Mauritius",4237583.88
"MEX","Mexico",11326874.14
"FSM","Micronesia (Fed. States of)",3683217.22
"MNG","Mongolia",5621574.21
"MNE","Montenegro",5257401.57
"MAR","Morocco",3756011.92
"MOZ","Mozambique",8080868.97
"MMR","Myanmar",6229664.3
"NAM","Namibia",5071187.64
"NRU","Nauru",10919505.17
"NPL","Nepal",5407279.25
"NIC","Nicaragua",5623946.65
"NER","Niger",5434433.84
"NGA","Nigeria",8875305.86
"NIU","Niue",3246753.25
"MKD","North Macedonia",4362385.1
"OMN","Oman",3718179.08
"PAK","Pakistan",4371612.93
"PLW","Palau",11037202.4
"PAN","Panama",4427999.68
"PNG","Papua New Guinea",14358747.14
"PRY","Paraguay",4043836.32
"PER","Peru",7605180.88
"PHL","Philippines",7462491.72
"QAT","Qatar",3305867.94
"MDA","Republic of Moldova",4591188.15
"RUS","Russian Federation",6432254.44
"RWA","Rwanda",5942161.62
"KNA","Saint Kitts and Nevis",10889722.11
"LCA","Saint Lucia",7146182.93
"VCT","Saint Vincent & Grenadines",10942398.54
"WSM","Samoa",10967429.5
"STP","Sao Tome y Principe",11089149.67
"SAU","Saudi Arabia",3862030.86
"SEN","Senegal",4990255.52
"SRB","Serbia",3632581.24
"SYC","Seychelles",7342952.14
"SLE","Sierra Leone",11228508.29
"SGP","Singapore",3334840.66
"SLB","Solomon Islands",12083396.06
"SOM","Somalia",7671154.63
"ZAF","South Africa",5549355.9
"SSD","South Sudan",5689460.34
"LKA","Sri Lanka",4358068.39
"PSE","State of Palestine",3312551.54
"SDN","Sudan",5316173.13
"SUR","Suriname",7405650.03
"SYR","Syrian Arab Republic",4752530.73
"TJK","Tajikistan",6025967.87
"THA","Thailand",4651532.93
"TLS","Timor Leste",11148950.39
"TGO","Togo",7537581.25
"TON","Tonga",11073942.08
"TTO","Trinidad and Tobago",3673073.65
"TUN","Tunisia",3888154.44
"TUR","Turkiye",7522038.76
"TKM","Turkmenistan",3660879.54
"TUV","Tuvalu",10921818.05
"UGA","Uganda",4761680.3
"UKR","Ukraine",3743213.68
"ARE","United Arab Emirates",3378438.84
"TZA","United Rep. Tanzania",6813594.45
"URY","Uruguay",3583386.28
"UZB","Uzbekistan",3796516.14
"VUT","Vanuatu",12128253.03
"VEN","Venezuela",6084935.23
"VNM","Viet Nam",5333743.75
"YEM","Yemen",6395890.02
"ZMB","Zambia",5286786.87
"ZWE","Zimbabwe",4777741.07
