"ISO_A3","country_name","allocation"
"AFG","Afghanistan",451595.6
"ALB","Albania",188754.36
"DZA","Algeria",102890.6
"AGO","Angola",381984.67
"ATG","Antigua and Barbuda",771788.81
"ARG","Argentina",379163.06
"ARM","Armenia",238787.74
"AZE","Azerbaijan",104961.96
"BHS","Bahamas",164766.98
"BHR","Bahrain",36575.45
"BGD","Bangladesh",268279.76
"BRB","Barbados",229855.76
"BLR","Belarus",63269.71
"BLZ","Belize",1561317.37
"BEN","Benin",409704.7
"BTN","Bhutan",1598096.84
"BOL","Bolivia",441228.34
"BIH","Bosnia-Herzegovina",130126.74
"BWA","Botswana",211146.08
"BRA","Brazil",1951358.16
"BRN","Brunei Darussalam",105511.79
"BFA","Burkino Faso",451864.29
"BDI","Burundi",1551717.93
"CPV","Cabo Verde",1524875.35
"KHM","Cambodia",287650.95
"CMR","Cameroon",848456.53
"CAF","Central African Republic",1709946.64
"TCD","Chad",574627.69
"CHL","Chile",238780.26
"CHN","China",1623839.37
"COL","Colombia",1060451.95
"COM","Comoros",1567196.43
"COG","Congo",465389.71
"COK","Cook Islands",8224.79
"CRI","Costa Rica",217077.82
"CIV","Cote d'Ivoire",896442.57
"CUB","Cuba",190646.58
"PRK","Dem. People's Rep.Korea",322748.51
"COD","Dem. Rep.Congo",844313.76
"DJI","Djibouti",780529.6
"DMA","Dominica",1541930.08
"DOM","Dominican Republic",111399.06
"ECU","Ecuador",580083.89
"EGY","Egypt",87736.6
"SLV","El Salvador",147816.18
"GNQ","Equatorial Guinea",234061.56
"ERI","Eritrea",1578197.33
"SWZ","Eswatini",773304.61
"ETH","Ethiopia",482814.76
"FJI","Fiji",603049.46
"GAB","Gabon",277122.29
"GMB","Gambia",1564445.08
"GEO","Georgia",231394.27
"GHA","Ghana",272696.42
"GRD","Grenada",1537643.64
"GTM","Guatemala",292980.14
"GIN","Guinea",514433.78
"GNB","Guinea Bissau",1593805.57
"GUY","Guyana",230883.75
"HTI","Haiti",359192.72
"HND","Honduras",320437.85
"IND","India",1591495.35
"IDN","Indonesia",2790760.04
"IRN","Iran (Islamic Republic of)",280047.37
"IRQ","Iraq",88605.81
"JAM","Jamaica",289121.71
"JOR","Jordan",103902.3
"KAZ","Kazakhstan",129537.42
"KEN","Kenya",332112.11
"KIR","Kiribati",1559852.64
"KWT","Kuwait",20895.12
"KGZ","Kyrgyzstan",538756.97
"LAO","Lao People's Dem. Rep.",525760.15
"LBN","Lebanon",86264.59
"LSO","Lesotho",1539495.26
"LBR","Liberia",1628717.99
"LBY","Libya",96319.88
"MDG","Madagascar",1078297.12
"MWI","Malawi",590856.39
"MYS","Malaysia",484940.81
"MDV","Maldives",403606.75
"MLI","Mali",464519.41
"MHL","Marshall Islands",1557263.49
"MRT","Mauritania",545397.34
"MUS","Mauritius",198166.13
"MEX","Mexico",1616024.18
"FSM","Micronesia (Fed. States of)",87292.8
"MNG","Mongolia",474964.19
"MNE","Montenegro",402129.66
"MAR","Morocco",101851.74
"MOZ","Mozambique",966823.14
"MMR","Myanmar",596582.21
"NAM","Namibia",364886.88
"NRU","Nauru",1534550.38
"NPL","Nepal",432105.2
"NIC","Nicaragua",475438.68
"NER","Niger",437536.12
"NGA","Nigeria",1125710.52
"NIU","Niue",0
"MKD","North Macedonia",223126.37
"OMN","Oman",94285.17
"PAK","Pakistan",224971.94
"PLW","Palau",1558089.83
"PAN","Panama",236249.29
"PNG","Papua New Guinea",2222398.78
"PRY","Paraguay",159416.61
"PER","Peru",871685.53
"PHL","Philippines",843147.7
"QAT","Qatar",11822.94
"MDA","Republic of Moldova",268886.98
"RUS","Russian Federation",637100.24
"RWA","Rwanda",539081.67
"KNA","Saint Kitts and Nevis",1528593.77
"LCA","Saint Lucia",779885.94
"VCT","Saint Vincent & Grenadines",1539129.06
"WSM","Samoa",1544135.25
"STP","Sao Tome y Principe",1568479.28
"SAU","Saudi Arabia",123055.52
"SEN","Senegal",348700.45
"SRB","Serbia",77165.6
"SYC","Seychelles",819239.78
"SLE","Sierra Leone",1596351.01
"SGP","Singapore",17617.48
"SLB","Solomon Islands",1767328.56
"SOM","Somalia",884880.28
"ZAF","South Africa",460520.53
"SSD","South Sudan",488541.42
"LKA","Sri Lanka",222263.03
"PSE","State of Palestine",13159.66
"SDN","Sudan",413883.98
"SUR","Suriname",831779.36
"SYR","Syrian Arab Republic",301155.5
"TJK","Tajikistan",555842.92
"THA","Thailand",280955.94
"TLS","Timor Leste",1580439.43
"TGO","Togo",858165.6
"TON","Tonga",1565437.77
"TTO","Trinidad and Tobago",85264.08
"TUN","Tunisia",128280.24
"TUR","Turkiye",855057.1
"TKM","Turkmenistan",82825.26
"TUV","Tuvalu",1535012.96
"UGA","Uganda",302985.41
"UKR","Ukraine",99292.09
"ARE","United Arab Emirates",26337.12
"TZA","United Rep. Tanzania",713368.24
"URY","Uruguay",67326.61
"UZB","Uzbekistan",109952.58
"VUT","Vanuatu",1776299.96
"VEN","Venezuela",567636.4
"VNM","Viet Nam",417398.1
"YEM","Yemen",629827.36
"ZMB","Zambia",408006.72
"ZWE","Zimbabwe",306197.56
