"ISO_A3","country_name","allocation"
"AFG","Afghanistan",1146471.27
"ALB","Albania",479192.99
"DZA","Algeria",261209.63
"AGO","Angola",969749.13
"ATG","Antigua and Barbuda",1959349.68
"ARG","Argentina",962585.88
"ARM","Armenia",606213.34
"AZE","Azerbaijan",266468.2
"BHS","Bahamas",418295.93
"BHR","Bahrain",92854.55
"BGD","Bangladesh",681085.09
"BRB","Barbados",583537.63
"BLR","Belarus",160623.58
"BLZ","Belize",3963735.45
"BEN","Benin",1040122.32
"BTN","Bhutan",4057107.94
"BOL","Bolivia",1120151.78
"BIH","Bosnia-Herzegovina",330354.34
"BWA","Botswana",536039.12
"BRA","Brazil",4953936.76
"BRN","Brunei Darussalam",267864.08
"BFA","Burkino Faso",1147153.39
"BDI","Burundi",3939365.25
"CPV","Cabo Verde",3871219.66
"KHM","Cambodia",730262.97
"CMR","Cameroon",2153986.94
"CAF","Central African Republic",4341062.39
"TCD","Chad",1458814.32
"CHL","Chile",606194.35
"CHN","China",4122460.81
"COL","Colombia",2692182.29
"COM","Comoros",3978660.69
"COG","Congo",1181490.53
"COK","Cook Islands",20880.36
"CRI","Costa Rica",551098.11
"CIV","Cote d'Ivoire",340199.85
"CUB","Cuba",483996.8
"PRK","Dem. People's Rep.Korea",819365.58
"COD","Dem. Rep.Congo",2143469.64
"DJI","Djibouti",1981540.01
"DMA","Dominica",3914516.71
"DOM","Dominican Republic",282810.15
"ECU","Ecuador",1472666.04
"EGY","Egypt",222737.98
"SLV","El Salvador",375262.75
"GNQ","Equatorial Guinea",594214.94
"ERI","Eritrea",4006588.8
"SWZ","Eswatini",1963197.84
"ETH","Ethiopia",1225727.72
"FJI","Fiji",1530969.03
"GAB","Gabon",703533.74
"GMB","Gambia",3971675.8
"GEO","Georgia",587443.46
"GHA","Ghana",692297.73
"GRD","Grenada",3903634.65
"GTM","Guatemala",743792.25
"GIN","Guinea",1305999.31
"GNB","Guinea Bissau",4046213.64
"GUY","Guyana",586147.39
"HTI","Haiti",911886.94
"HND","Honduras",813499.49
"IND","India",4040348.65
"IDN","Indonesia",7084936.56
"IRN","Iran (Islamic Republic of)",710959.67
"IRQ","Iraq",224944.65
"JAM","Jamaica",733996.81
"JOR","Jordan",263778.03
"KAZ","Kazakhstan",328858.23
"KEN","Kenya",843137.05
"KIR","Kiribati",3960016.92
"KWT","Kuwait",53046.71
"KGZ","Kyrgyzstan",1367748.88
"LAO","Lao People's Dem. Rep.",1334753.7
"LBN","Lebanon",219000.96
"LSO","Lesotho",3908335.4
"LBR","Liberia",4134846.23
"LBY","Libya",244528.45
"MDG","Madagascar",2737486.05
"MWI","Malawi",1500014.33
"MYS","Malaysia",1231125.15
"MDV","Maldives",1024641.37
"MLI","Mali",1179281.1
"MHL","Marshall Islands",3953443.82
"MRT","Mauritania",1384606.87
"MUS","Mauritius",503086.76
"MEX","Mexico",4102620.29
"FSM","Micronesia (Fed. States of)",221611.28
"MNG","Mongolia",1205797.39
"MNE","Montenegro",1020891.48
"MAR","Morocco",258572.24
"MOZ","Mozambique",2454485.71
"MMR","Myanmar",1514550.53
"NAM","Namibia",926342.77
"NRU","Nauru",3895781.78
"NPL","Nepal",1096990.74
"NIC","Nicaragua",1207001.98
"NER","Niger",1110778.28
"NGA","Nigeria",2857855.04
"NIU","Niue",0
"MKD","North Macedonia",566453.64
"OMN","Oman",239362.9
"PAK","Pakistan",571139
"PLW","Palau",3955541.66
"PAN","Panama",599768.95
"PNG","Papua New Guinea",5642030.88
"PRY","Paraguay",404712.9
"PER","Peru",2212958.68
"PHL","Philippines",2140509.34
"QAT","Qatar",30015.04
"MDA","Republic of Moldova",682626.66
"RUS","Russian Federation",1617414.15
"RWA","Rwanda",1368573.22
"KNA","Saint Kitts and Nevis",3880659.66
"LCA","Saint Lucia",1979905.94
"VCT","Saint Vincent & Grenadines",3907405.71
"WSM","Samoa",3920114.99
"STP","Sao Tome y Principe",3981917.49
"SAU","Saudi Arabia",312402.56
"SEN","Senegal",885250.1
"SRB","Serbia",195901.25
"SYC","Seychelles",2079814.02
"SLE","Sierra Leone",4052675.77
"SGP","Singapore",44725.72
"SLB","Solomon Islands",4486738.58
"SOM","Somalia",2246456.35
"ZAF","South Africa",1169129.09
"SSD","South Sudan",1240266.06
"LKA","Sri Lanka",564261.86
"PSE","State of Palestine",33408.58
"SDN","Sudan",1050732.3
"SUR","Suriname",2111648.4
"SYR","Syrian Arab Republic",764547.13
"TJK","Tajikistan",1411125.21
"THA","Thailand",713266.26
"TLS","Timor Leste",4012280.85
"TGO","Togo",2178635.48
"TON","Tonga",3974195.95
"TTO","Trinidad and Tobago",216460.96
"TUN","Tunisia",325666.6
"TUR","Turkiye",235134.06
"TKM","Turkmenistan",210269.5
"TUV","Tuvalu",3896956.12
"UGA","Uganda",769192.76
"UKR","Ukraine",252074.03
"ARE","United Arab Emirates",66862.36
"TZA","United Rep. Tanzania",1811036.65
"URY","Uruguay",170922.88
"UZB","Uzbekistan",279137.95
"VUT","Vanuatu",4509514.36
"VEN","Venezuela",1441065.44
"VNM","Viet Nam",1059653.65
"YEM","Yemen",1598950.39
"ZMB","Zambia",1035811.65
"ZWE","Zimbabwe",777347.49
