"ISO_A3","country_name","allocation"
"AFG","Afghanistan",42944.03
"ALB","Albania",17312.17
"DZA","Algeria",12894.16
"AGO","Angola",44785.94
"ATG","Antigua and Barbuda",66929.93
"ARG","Argentina",58651.62
"ARM","Armenia",21131.83
"AZE","Azerbaijan",9921.53
"BHS","Bahamas",19530.07
"BHR","Bahrain",3378.99
"BGD","Bangladesh",25724.69
"BRB","Barbados",20587.84
"BLR","Belarus",5836.59
"BLZ","Belize",136047.53
"BEN","Benin",36188.56
"BTN","Bhutan",138544.63
"BOL","Bolivia",57925.88
"BIH","Bosnia-Herzegovina",11844.58
"BWA","Botswana",20922.7
"BRA","Brazil",284681.83
"BRN","Brunei Darussalam",9659.76
"BFA","Burkino Faso",39607.58
"BDI","Burundi",133979.79
"CPV","Cabo Verde",130648.58
"KHM","Cambodia",29019.24
"CMR","Cameroon",90680.78
"CAF","Central African Republic",149113.65
"TCD","Chad",51764.85
"CHL","Chile",38177.78
"CHN","China",211873.96
"COL","Colombia",161609.24
"COM","Comoros",137336.82
"COG","Congo",43616.49
"COK","Cook Islands",704.68
"CRI","Costa Rica",33016.26
"CIV","Cote d'Ivoire",17525.16
"CUB","Cuba",31181.29
"PRK","Dem. People's Rep.Korea",28898.66
"COD","Dem. Rep.Congo",96244.41
"DJI","Djibouti",67863.97
"DMA","Dominica",133430.08
"DOM","Dominican Republic",16779.11
"ECU","Ecuador",93310.37
"EGY","Egypt",12208.82
"SLV","El Salvador",14439.77
"GNQ","Equatorial Guinea",22232.28
"ERI","Eritrea",137812.52
"SWZ","Eswatini",66766.86
"ETH","Ethiopia",54171.35
"FJI","Fiji",57959.03
"GAB","Gabon",28568.62
"GMB","Gambia",134751.3
"GEO","Georgia",21053.01
"GHA","Ghana",27696.78
"GRD","Grenada",132836.51
"GTM","Guatemala",38068.39
"GIN","Guinea",48024.62
"GNB","Guinea Bissau",137809.29
"GUY","Guyana",24027.84
"HTI","Haiti",39357.84
"HND","Honduras",40299.79
"IND","India",192830.99
"IDN","Indonesia",369755.88
"IRN","Iran (Islamic Republic of)",31871.02
"IRQ","Iraq",9682.35
"JAM","Jamaica",30461.56
"JOR","Jordan",9616.07
"KAZ","Kazakhstan",17400.93
"KEN","Kenya",41405.21
"KIR","Kiribati",136501.22
"KWT","Kuwait",2152.89
"KGZ","Kyrgyzstan",47646.79
"LAO","Lao People's Dem. Rep.",51410.61
"LBN","Lebanon",8004.03
"LSO","Lesotho",132449.11
"LBR","Liberia",142805.2
"LBY","Libya",10849.25
"MDG","Madagascar",149860.88
"MWI","Malawi",53755.62
"MYS","Malaysia",63395.1
"MDV","Maldives",36503.35
"MLI","Mali",42057.99
"MHL","Marshall Islands",136198.49
"MRT","Mauritania",48643.72
"MUS","Mauritius",20757.12
"MEX","Mexico",227338.83
"FSM","Micronesia (Fed. States of)",12421.31
"MNG","Mongolia",45489.36
"MNE","Montenegro",35122.75
"MAR","Morocco",12849.06
"MOZ","Mozambique",94008.15
"MMR","Myanmar",67042.1
"NAM","Namibia",38934.42
"NRU","Nauru",131883.65
"NPL","Nepal",41676.65
"NIC","Nicaragua",47120.97
"NER","Niger",38934.88
"NGA","Nigeria",105497.9
"NIU","Niue",0
"MKD","North Macedonia",19653.78
"OMN","Oman",13194.59
"PAK","Pakistan",25233.16
"PLW","Palau",135917.28
"PAN","Panama",36574.19
"PNG","Papua New Guinea",235662.98
"PRY","Paraguay",16992.01
"PER","Peru",129447.87
"PHL","Philippines",116342.7
"QAT","Qatar",1358.24
"MDA","Republic of Moldova",23037.75
"RUS","Russian Federation",82619.19
"RWA","Rwanda",47702.43
"KNA","Saint Kitts and Nevis",131285.75
"LCA","Saint Lucia",68317.43
"VCT","Saint Vincent & Grenadines",133091.04
"WSM","Samoa",133807.95
"STP","Sao Tome y Principe",137697.58
"SAU","Saudi Arabia",19012.41
"SEN","Senegal",34187.66
"SRB","Serbia",7426.11
"SYC","Seychelles",74920.02
"SLE","Sierra Leone",139091.09
"SGP","Singapore",1766.07
"SLB","Solomon Islands",161201.4
"SOM","Somalia",84617.63
"ZAF","South Africa",71916.03
"SSD","South Sudan",44905.88
"LKA","Sri Lanka",33949.75
"PSE","State of Palestine",1127.5
"SDN","Sudan",39656.99
"SUR","Suriname",74109.08
"SYR","Syrian Arab Republic",27016.86
"TJK","Tajikistan",48742.4
"THA","Thailand",35928.27
"TLS","Timor Leste",137069.23
"TGO","Togo",74543.36
"TON","Tonga",137176.4
"TTO","Trinidad and Tobago",10094.08
"TUN","Tunisia",13038.31
"TUR","Turkiye",15686.73
"TKM","Turkmenistan",9019.55
"TUV","Tuvalu",132244.79
"UGA","Uganda",30262.36
"UKR","Ukraine",10886.21
"ARE","United Arab Emirates",3587.26
"TZA","United Rep. Tanzania",88040.69
"URY","Uruguay",8762.02
"UZB","Uzbekistan",11007.72
"VUT","Vanuatu",155550.92
"VEN","Venezuela",86079.27
"VNM","Viet Nam",53232.45
"YEM","Yemen",60856.35
"ZMB","Zambia",40957.46
"ZWE","Zimbabwe",30146.07
