"ISO_A3","country_name","allocation"
"AFG","Afghanistan",550473.13
"ALB","Albania",419052.5
"DZA","Algeria",376120.63
"AGO","Angola",515667.66
"ATG","Antigua and Barbuda",710569.73
"ARG","Argentina",514256.85
"ARM","Armenia",444069.19
"AZE","Azerbaijan",377156.3
"BHS","Bahamas",407058.81
"BHR","Bahrain",342963.05
"BGD","Bangladesh",458815.2
"BRB","Barbados",439603.21
"BLR","Belarus",356310.18
"BLZ","Belize",1105334.01
"BEN","Benin",529527.67
"BTN","Bhutan",1123723.75
"BOL","Bolivia",545289.5
"BIH","Bosnia-Herzegovina",389738.69
"BWA","Botswana",430248.36
"BRA","Brazil",1300354.4
"BRN","Brunei Darussalam",377431.22
"BFA","Burkino Faso",550607.47
"BDI","Burundi",1100534.29
"CPV","Cabo Verde",1087113
"KHM","Cambodia",468500.8
"CMR","Cameroon",748903.59
"CAF","Central African Republic",1179648.64
"TCD","Chad",611989.17
"CHL","Chile",444065.45
"CHN","China",1136595.01
"COL","Colombia",854901.3
"COM","Comoros",1108273.54
"COG","Congo",557370.18
"COK","Cook Islands",328787.72
"CRI","Costa Rica",433214.23
"CIV","Cote d'Ivoire",772896.61
"CUB","Cuba",419998.62
"PRK","Dem. People's Rep.Korea",486049.58
"COD","Dem. Rep.Congo",746832.21
"DJI","Djibouti",714940.12
"DMA","Dominica",1095640.37
"DOM","Dominican Republic",380374.85
"ECU","Ecuador",614717.27
"EGY","Egypt",368543.63
"SLV","El Salvador",398583.42
"GNQ","Equatorial Guinea",441706.11
"ERI","Eritrea",1113773.99
"SWZ","Eswatini",711327.63
"ETH","Ethiopia",566082.71
"FJI","Fiji",626200.06
"GAB","Gabon",463236.47
"GMB","Gambia",1106897.86
"GEO","Georgia",440372.46
"GHA","Ghana",461023.53
"GRD","Grenada",1093497.14
"GTM","Guatemala",471165.39
"GIN","Guinea",581892.22
"GNB","Guinea Bissau",1121578.11
"GUY","Guyana",440117.2
"HTI","Haiti",504271.68
"HND","Honduras",484894.25
"IND","India",1120423
"IDN","Indonesia",1720055.35
"IRN","Iran (Islamic Republic of)",464699.01
"IRQ","Iraq",368978.23
"JAM","Jamaica",469236.18
"JOR","Jordan",376626.47
"KAZ","Kazakhstan",389444.03
"KEN","Kenya",490731.38
"KIR","Kiribati",1104601.64
"KWT","Kuwait",335122.89
"KGZ","Kyrgyzstan",594053.81
"LAO","Lao People's Dem. Rep.",587555.4
"LBN","Lebanon",367807.62
"LSO","Lesotho",1094422.96
"LBR","Liberia",1139034.32
"LBY","Libya",372835.26
"MDG","Madagascar",863823.89
"MWI","Malawi",620103.52
"MYS","Malaysia",567145.73
"MDV","Maldives",526478.7
"MLI","Mali",556935.03
"MHL","Marshall Islands",1103307.07
"MRT","Mauritania",597373.99
"MUS","Mauritius",423758.39
"MEX","Mexico",1132687.41
"FSM","Micronesia (Fed. States of)",368321.72
"MNG","Mongolia",562157.42
"MNE","Montenegro",525740.16
"MAR","Morocco",375601.19
"MOZ","Mozambique",808086.9
"MMR","Myanmar",622966.43
"NAM","Namibia",507118.76
"NRU","Nauru",1091950.52
"NPL","Nepal",540727.93
"NIC","Nicaragua",562394.66
"NER","Niger",543443.38
"NGA","Nigeria",887530.59
"NIU","Niue",324675.32
"MKD","North Macedonia",436238.51
"OMN","Oman",371817.91
"PAK","Pakistan",437161.29
"PLW","Palau",1103720.24
"PAN","Panama",442799.97
"PNG","Papua New Guinea",1435874.71
"PRY","Paraguay",404383.63
"PER","Peru",760518.09
"PHL","Philippines",746249.17
"QAT","Qatar",330586.79
"MDA","Republic of Moldova",459118.81
"RUS","Russian Federation",643225.44
"RWA","Rwanda",594216.16
"KNA","Saint Kitts and Nevis",1088972.21
"LCA","Saint Lucia",714618.29
"VCT","Saint Vincent & Grenadines",1094239.85
"WSM","Samoa",1096742.95
"STP","Sao Tome y Principe",1108914.97
"SAU","Saudi Arabia",386203.09
"SEN","Senegal",499025.55
"SRB","Serbia",363258.12
"SYC","Seychelles",734295.21
"SLE","Sierra Leone",1122850.83
"SGP","Singapore",333484.07
"SLB","Solomon Islands",1208339.61
"SOM","Somalia",767115.46
"ZAF","South Africa",554935.59
"SSD","South Sudan",568946.03
"LKA","Sri Lanka",435806.84
"PSE","State of Palestine",331255.15
"SDN","Sudan",531617.31
"SUR","Suriname",740565
"SYR","Syrian Arab Republic",475253.07
"TJK","Tajikistan",602596.79
"THA","Thailand",465153.29
"TLS","Timor Leste",1114895.04
"TGO","Togo",753758.12
"TON","Tonga",1107394.21
"TTO","Trinidad and Tobago",367307.36
"TUN","Tunisia",388815.44
"TUR","Turkiye",752203.88
"TKM","Turkmenistan",366087.95
"TUV","Tuvalu",1092181.8
"UGA","Uganda",476168.03
"UKR","Ukraine",374321.37
"ARE","United Arab Emirates",337843.88
"TZA","United Rep. Tanzania",681359.44
"URY","Uruguay",358338.63
"UZB","Uzbekistan",379651.61
"VUT","Vanuatu",1212825.3
"VEN","Venezuela",608493.52
"VNM","Viet Nam",533374.37
"YEM","Yemen",639589
"ZMB","Zambia",528678.69
"ZWE","Zimbabwe",477774.11
