"ISO_A3","country_name","allocation"
"AFG","Afghanistan",553969.58
"ALB","Albania",420513.92
"DZA","Algeria",376917.25
"AGO","Angola",518625.15
"ATG","Antigua and Barbuda",716545.26
"ARG","Argentina",517192.5
"ARM","Armenia",445917.99
"AZE","Azerbaijan",377968.96
"BHS","Bahamas",408334.51
"BHR","Bahrain",343246.24
"BGD","Bangladesh",460892.34
"BRB","Barbados",441382.85
"BLR","Belarus",356800.04
"BLZ","Belize",1117422.41
"BEN","Benin",532699.79
"BTN","Bhutan",1136096.91
"BOL","Bolivia",548705.68
"BIH","Bosnia-Herzegovina",390746.19
"BWA","Botswana",431883.15
"BRA","Brazil",1315462.68
"BRN","Brunei Darussalam",378248.14
"BFA","Burkino Faso",554106
"BDI","Burundi",1112548.37
"CPV","Cabo Verde",1098919.26
"KHM","Cambodia",470727.92
"CMR","Cameroon",755472.71
"CAF","Central African Republic",1192887.8
"TCD","Chad",616438.19
"CHL","Chile",445914.2
"CHN","China",1149167.49
"COL","Colombia",863111.78
"COM","Comoros",1120407.46
"COG","Congo",560973.43
"COK","Cook Islands",328851.4
"CRI","Costa Rica",434894.95
"CIV","Cote d'Ivoire",392715.29
"CUB","Cuba",421474.68
"PRK","Dem. People's Rep.Korea",488548.44
"COD","Dem. Rep.Congo",753369.25
"DJI","Djibouti",720983.33
"DMA","Dominica",1107578.67
"DOM","Dominican Republic",381237.35
"ECU","Ecuador",619208.53
"EGY","Egypt",369222.92
"SLV","El Salvador",399727.87
"GNQ","Equatorial Guinea",443518.31
"ERI","Eritrea",1125993.09
"SWZ","Eswatini",717314.89
"ETH","Ethiopia",569820.87
"FJI","Fiji",630869.13
"GAB","Gabon",465382.07
"GMB","Gambia",1119010.48
"GEO","Georgia",442164.02
"GHA","Ghana",463134.87
"GRD","Grenada",1105402.26
"GTM","Guatemala",473433.77
"GIN","Guinea",585875.19
"GNB","Guinea Bissau",1133918.05
"GUY","Guyana",441904.8
"HTI","Haiti",507052.71
"HND","Honduras",487375.22
"IND","India",1132745.05
"IDN","Indonesia",1741662.64
"IRN","Iran (Islamic Republic of)",466867.26
"IRQ","Iraq",369664.25
"JAM","Jamaica",471474.69
"JOR","Jordan",377430.93
"KAZ","Kazakhstan",390446.97
"KEN","Kenya",493302.74
"KIR","Kiribati",1116678.71
"KWT","Kuwait",335284.67
"KGZ","Kyrgyzstan",598225.1
"LAO","Lao People's Dem. Rep.",591626.06
"LBN","Lebanon",368475.52
"LSO","Lesotho",1106342.4
"LBR","Liberia",1151644.57
"LBY","Libya",373581.01
"MDG","Madagascar",872172.54
"MWI","Malawi",624678.19
"MYS","Malaysia",570900.35
"MDV","Maldives",529603.6
"MLI","Mali",560531.54
"MHL","Marshall Islands",1115364.09
"MRT","Mauritania",601596.7
"MUS","Mauritius",425292.68
"MEX","Mexico",1145199.38
"FSM","Micronesia (Fed. States of)",368997.58
"MNG","Mongolia",565834.8
"MNE","Montenegro",528853.62
"MAR","Morocco",376389.77
"MOZ","Mozambique",815572.47
"MMR","Myanmar",627585.43
"NAM","Namibia",509943.88
"NRU","Nauru",1103831.68
"NPL","Nepal",544073.47
"NIC","Nicaragua",566075.72
"NER","Niger",546830.98
"NGA","Nigeria",896246.33
"NIU","Niue",324675.32
"MKD","North Macedonia",437966.05
"OMN","Oman",372547.91
"PAK","Pakistan",438903.12
"PLW","Palau",1115783.66
"PAN","Panama",444629.11
"PNG","Papua New Guinea",1453081.5
"PRY","Paraguay",405617.91
"PER","Peru",767267.06
"PHL","Philippines",752777.19
"QAT","Qatar",330678.33
"MDA","Republic of Moldova",461200.66
"RUS","Russian Federation",648158.15
"RWA","Rwanda",598389.97
"KNA","Saint Kitts and Nevis",1100807.26
"LCA","Saint Lucia",720656.51
"VCT","Saint Vincent & Grenadines",1106156.47
"WSM","Samoa",1108698.32
"STP","Sao Tome y Principe",1121058.82
"SAU","Saudi Arabia",387155.84
"SEN","Senegal",501725.34
"SRB","Serbia",363855.57
"SYC","Seychelles",740638.13
"SLE","Sierra Leone",1135210.48
"SGP","Singapore",333620.47
"SLB","Solomon Islands",1222023.04
"SOM","Somalia",773966.59
"ZAF","South Africa",558501.14
"SSD","South Sudan",572728.54
"LKA","Sri Lanka",437527.7
"PSE","State of Palestine",331357.04
"SDN","Sudan",534821.78
"SUR","Suriname",747005
"SYR","Syrian Arab Republic",477584.75
"TJK","Tajikistan",606900.37
"THA","Thailand",467328.58
"TLS","Timor Leste",1127131.5
"TGO","Togo",760402.42
"TON","Tonga",1119514.51
"TTO","Trinidad and Tobago",367967.52
"TUN","Tunisia",389808.65
"TUR","Turkiye",371702.14
"TKM","Turkmenistan",366729.22
"TUV","Tuvalu",1104066.55
"UGA","Uganda",478513.88
"UKR","Ukraine",375090.13
"ARE","United Arab Emirates",338047.8
"TZA","United Rep. Tanzania",686882.65
"URY","Uruguay",358859.9
"UZB","Uzbekistan",380502.92
"VUT","Vanuatu",1226578.2
"VEN","Venezuela",612888.41
"VNM","Viet Nam",536606.05
"YEM","Yemen",644465.4
"ZMB","Zambia",531837.65
"ZWE","Zimbabwe",480144.82
