"ISO_A3","country_name","allocation"
"AFG","Afghanistan",4294402.65
"ALB","Albania",1731217.07
"DZA","Algeria",1289416.21
"AGO","Angola",4478594.23
"ATG","Antigua and Barbuda",6692993.24
"ARG","Argentina",5865161.65
"ARM","Armenia",2113182.78
"AZE","Azerbaijan",992152.83
"BHS","Bahamas",1953006.74
"BHR","Bahrain",337899.36
"BGD","Bangladesh",2572468.9
"BRB","Barbados",2058783.59
"BLR","Belarus",583659.25
"BLZ","Belize",13604752.95
"BEN","Benin",3618856.28
"BTN","Bhutan",13854462.93
"BOL","Bolivia",5792588.03
"BIH","Bosnia-Herzegovina",1184457.8
"BWA","Botswana",2092270.27
"BRA","Brazil",28468183.49
"BRN","Brunei Darussalam",965976.17
"BFA","Burkino Faso",3960758.06
"BDI","Burundi",13397979.41
"CPV","Cabo Verde",13064857.87
"KHM","Cambodia",2901923.92
"CMR","Cameroon",9068077.69
"CAF","Central African Republic",14911365.26
"TCD","Chad",5176484.52
"CHL","Chile",3817778.39
"CHN","China",21187395.82
"COL","Colombia",16160923.71
"COM","Comoros",13733681.83
"COG","Congo",4361649.09
"COK","Cook Islands",70468.49
"CRI","Costa Rica",3301626.08
"CIV","Cote d'Ivoire",1752516.47
"CUB","Cuba",3118128.96
"PRK","Dem. People's Rep.Korea",2889865.96
"COD","Dem. Rep.Congo",9624440.9
"DJI","Djibouti",6786397.39
"DMA","Dominica",13343007.88
"DOM","Dominican Republic",1677911.01
"ECU","Ecuador",9331036.92
"EGY","Egypt",1220882.04
"SLV","El Salvador",1443976.62
"GNQ","Equatorial Guinea",2223228.35
"ERI","Eritrea",13781252.26
"SWZ","Eswatini",6676686.27
"ETH","Ethiopia",5417135.43
"FJI","Fiji",5795903.49
"GAB","Gabon",2856862.48
"GMB","Gambia",13475130.17
"GEO","Georgia",2105301.48
"GHA","Ghana",2769678.1
"GRD","Grenada",13283650.56
"GTM","Guatemala",3806838.54
"GIN","Guinea",4802461.69
"GNB","Guinea Bissau",13780929.22
"GUY","Guyana",2402784.17
"HTI","Haiti",3935784.18
"HND","Honduras",4029979.19
"IND","India",19283098.87
"IDN","Indonesia",36975588.16
"IRN","Iran (Islamic Republic of)",3187101.5
"IRQ","Iraq",968235.36
"JAM","Jamaica",3046156.13
"JOR","Jordan",961606.59
"KAZ","Kazakhstan",1740093.21
"KEN","Kenya",4140520.54
"KIR","Kiribati",13650122.37
"KWT","Kuwait",215288.64
"KGZ","Kyrgyzstan",4764678.86
"LAO","Lao People's Dem. Rep.",5141061.08
"LBN","Lebanon",800403.05
"LSO","Lesotho",13244910.87
"LBR","Liberia",14280520.05
"LBY","Libya",1084925.28
"MDG","Madagascar",14986087.95
"MWI","Malawi",5375561.92
"MYS","Malaysia",6339509.62
"MDV","Maldives",3650335.49
"MLI","Mali",4205799.02
"MHL","Marshall Islands",13619849.34
"MRT","Mauritania",4864372.17
"MUS","Mauritius",2075711.84
"MEX","Mexico",22733883.22
"FSM","Micronesia (Fed. States of)",1242131.39
"MNG","Mongolia",4548935.97
"MNE","Montenegro",3512275.13
"MAR","Morocco",1284905.65
"MOZ","Mozambique",9400814.97
"MMR","Myanmar",6704209.71
"NAM","Namibia",3893442.49
"NRU","Nauru",13188364.62
"NPL","Nepal",4167664.79
"NIC","Nicaragua",4712097.29
"NER","Niger",3893488.26
"NGA","Nigeria",10549790.03
"NIU","Niue",0
"MKD","North Macedonia",1965378.37
"OMN","Oman",1319458.65
"PAK","Pakistan",2523315.98
"PLW","Palau",13591728.1
"PAN","Panama",3657418.56
"PNG","Papua New Guinea",23566298.15
"PRY","Paraguay",1699201.19
"PER","Peru",12944786.7
"PHL","Philippines",11634270.37
"QAT","Qatar",135824.45
"MDA","Republic of Moldova",2303775.3
"RUS","Russian Federation",8261919.05
"RWA","Rwanda",4770242.96
"KNA","Saint Kitts and Nevis",13128575.37
"LCA","Saint Lucia",6831742.6
"VCT","Saint Vincent & Grenadines",13309104.23
"WSM","Samoa",13380794.82
"STP","Sao Tome y Principe",13769758.06
"SAU","Saudi Arabia",1901240.72
"SEN","Senegal",3418765.98
"SRB","Serbia",742610.76
"SYC","Seychelles",7492002.19
"SLE","Sierra Leone",13909109.14
"SGP","Singapore",176607.48
"SLB","Solomon Islands",16120140.46
"SOM","Somalia",8461763.48
"ZAF","South Africa",7191603.42
"SSD","South Sudan",4490588.21
"LKA","Sri Lanka",3394974.74
"PSE","State of Palestine",112749.58
"SDN","Sudan",3965699.3
"SUR","Suriname",7410908.24
"SYR","Syrian Arab Republic",2701686.3
"TJK","Tajikistan",4874239.63
"THA","Thailand",3592827.14
"TLS","Timor Leste",13706922.53
"TGO","Togo",7454336.19
"TON","Tonga",13717639.7
"TTO","Trinidad and Tobago",1009408.4
"TUN","Tunisia",1303831.08
"TUR","Turkiye",1568672.57
"TKM","Turkmenistan",901955.47
"TUV","Tuvalu",13224478.55
"UGA","Uganda",3026235.53
"UKR","Ukraine",1088621.05
"ARE","United Arab Emirates",358725.82
"TZA","United Rep. Tanzania",8804069.01
"URY","Uruguay",876201.87
"UZB","Uzbekistan",1100771.84
"VUT","Vanuatu",15555092.42
"VEN","Venezuela",8607927.04
"VNM","Viet Nam",5323245.35
"YEM","Yemen",6085635.45
"ZMB","Zambia",4095745.91
"ZWE","Zimbabwe",3014606.78
