"ISO_A3","country_name","allocation"
"AFG","Afghanistan",539395.46
"ALB","Albania",411236.18
"DZA","Algeria",389146.14
"AGO","Angola",548605.04
"ATG","Antigua and Barbuda",659324.99
"ARG","Argentina",617933.41
"ARM","Armenia",430334.46
"AZE","Azerbaijan",374282.97
"BHS","Bahamas",422325.66
"BHR","Bahrain",341570.29
"BGD","Bangladesh",453298.77
"BRB","Barbados",427614.5
"BLR","Belarus",353858.29
"BLZ","Belize",1004912.97
"BEN","Benin",505618.14
"BTN","Bhutan",1017398.47
"BOL","Bolivia",614304.73
"BIH","Bosnia-Herzegovina",383898.21
"BWA","Botswana",429288.84
"BRA","Brazil",1748084.5
"BRN","Brunei Darussalam",372974.13
"BFA","Burkino Faso",522713.23
"BDI","Burundi",994574.3
"CPV","Cabo Verde",977918.22
"KHM","Cambodia",469771.52
"CMR","Cameroon",778079.21
"CAF","Central African Republic",1070243.59
"TCD","Chad",583499.55
"CHL","Chile",515564.24
"CHN","China",1384045.12
"COL","Colombia",1132721.51
"COM","Comoros",1011359.42
"COG","Congo",542757.78
"COK","Cook Islands",328198.75
"CRI","Costa Rica",489756.63
"CIV","Cote d'Ivoire",412301.15
"CUB","Cuba",480581.77
"PRK","Dem. People's Rep.Korea",469168.62
"COD","Dem. Rep.Congo",805897.37
"DJI","Djibouti",663995.19
"DMA","Dominica",991825.72
"DOM","Dominican Republic",408570.88
"ECU","Ecuador",791227.17
"EGY","Egypt",385719.43
"SLV","El Salvador",396874.16
"GNQ","Equatorial Guinea",435836.74
"ERI","Eritrea",1013737.94
"SWZ","Eswatini",658509.64
"ETH","Ethiopia",595532.1
"FJI","Fiji",614470.5
"GAB","Gabon",467518.45
"GMB","Gambia",998431.83
"GEO","Georgia",429940.4
"GHA","Ghana",463159.23
"GRD","Grenada",988857.85
"GTM","Guatemala",515017.25
"GIN","Guinea",564798.41
"GNB","Guinea Bissau",1013721.79
"GUY","Guyana",444814.53
"HTI","Haiti",521464.53
"HND","Honduras",526174.28
"IND","India",1288830.27
"IDN","Indonesia",2173454.73
"IRN","Iran (Islamic Republic of)",484030.4
"IRQ","Iraq",373087.09
"JAM","Jamaica",476983.13
"JOR","Jordan",372755.65
"KAZ","Kazakhstan",411679.99
"KEN","Kenya",531701.35
"KIR","Kiribati",1007181.44
"KWT","Kuwait",335439.76
"KGZ","Kyrgyzstan",562909.27
"LAO","Lao People's Dem. Rep.",581728.38
"LBN","Lebanon",364695.48
"LSO","Lesotho",986920.87
"LBR","Liberia",1038701.33
"LBY","Libya",378921.59
"MDG","Madagascar",1073979.72
"MWI","Malawi",593453.42
"MYS","Malaysia",641650.81
"MDV","Maldives",507192.1
"MLI","Mali",534965.28
"MHL","Marshall Islands",1005667.79
"MRT","Mauritania",567893.93
"MUS","Mauritius",428460.92
"MEX","Mexico",1461369.49
"FSM","Micronesia (Fed. States of)",386781.89
"MNG","Mongolia",552122.12
"MNE","Montenegro",500289.08
"MAR","Morocco",388920.61
"MOZ","Mozambique",794716.07
"MMR","Myanmar",659885.81
"NAM","Namibia",519347.45
"NRU","Nauru",984093.56
"NPL","Nepal",533058.56
"NIC","Nicaragua",560280.19
"NER","Niger",519349.74
"NGA","Nigeria",852164.83
"NIU","Niue",324675.32
"MKD","North Macedonia",422944.24
"OMN","Oman",390648.26
"PAK","Pakistan",450841.12
"PLW","Palau",1004261.73
"PAN","Panama",507546.25
"PNG","Papua New Guinea",1502990.23
"PRY","Paraguay",409635.38
"PER","Peru",971914.66
"PHL","Philippines",906388.84
"QAT","Qatar",331466.55
"MDA","Republic of Moldova",439864.09
"RUS","Russian Federation",737771.28
"RWA","Rwanda",563187.47
"KNA","Saint Kitts and Nevis",981104.09
"LCA","Saint Lucia",666262.45
"VCT","Saint Vincent & Grenadines",990130.54
"WSM","Samoa",993715.07
"STP","Sao Tome y Principe",1013163.23
"SAU","Saudi Arabia",419737.36
"SEN","Senegal",495613.62
"SRB","Serbia",361805.86
"SYC","Seychelles",699275.43
"SLE","Sierra Leone",1020130.78
"SGP","Singapore",333505.7
"SLB","Solomon Islands",1130682.35
"SOM","Somalia",747763.5
"ZAF","South Africa",684255.5
"SSD","South Sudan",549204.74
"LKA","Sri Lanka",494424.06
"PSE","State of Palestine",330312.8
"SDN","Sudan",522960.29
"SUR","Suriname",695220.74
"SYR","Syrian Arab Republic",459759.64
"TJK","Tajikistan",568387.31
"THA","Thailand",504316.68
"TLS","Timor Leste",1010021.45
"TGO","Togo",697392.13
"TON","Tonga",1010557.31
"TTO","Trinidad and Tobago",375145.74
"TUN","Tunisia",389866.88
"TUR","Turkiye",403108.95
"TKM","Turkmenistan",369773.1
"TUV","Tuvalu",985899.25
"UGA","Uganda",475987.1
"UKR","Ukraine",379106.38
"ARE","United Arab Emirates",342611.62
"TZA","United Rep. Tanzania",764878.78
"URY","Uruguay",368485.42
"UZB","Uzbekistan",379713.92
"VUT","Vanuatu",1102429.95
"VEN","Venezuela",755071.68
"VNM","Viet Nam",590837.59
"YEM","Yemen",628957.1
"ZMB","Zambia",529462.62
"ZWE","Zimbabwe",475405.66
