"ISO_A3","country_name","country_category","is_ldc","is_sids","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"AFG","Afghanistan","Least developed countries",TRUE,FALSE,1,649350.65,695232.48,1344583.13
"AGO","Angola","Least developed countries",TRUE,FALSE,1,649350.65,740892.47,1390243.12
"ALB","Albania","Economies in transition",FALSE,FALSE,1,649350.65,642137.68,1291488.33
"ARE","United Arab Emirates","Other developing countries",FALSE,FALSE,1,649350.65,12038.94,661389.59
"ARG","Argentina","Other developing countries",FALSE,FALSE,1,649350.65,570894.44,1220245.09
"ARM","Armenia","Economies in transition",FALSE,FALSE,1,649350.65,636001.37,1285352.02
"ATG","Antigua and Barbuda","Small island developing states",FALSE,TRUE,1,649350.65,629962.68,1279313.33
"AZE","Azerbaijan","Economies in transition",FALSE,FALSE,1,649350.65,516421.84,1165772.49
"BDI","Burundi","Least developed countries",TRUE,FALSE,1,649350.65,777044.19,1426394.84
"BEN","Benin","Least developed countries",TRUE,FALSE,1,649350.65,679264.69,1328615.34
"BFA","Burkino Faso","Least developed countries",TRUE,FALSE,1,649350.65,700261.11,1349611.75
"BGD","Bangladesh","Least developed countries",TRUE,FALSE,1,649350.65,682977.49,1332328.14
"BHR","Bahrain","Other developing countries",FALSE,FALSE,1,649350.65,3136.7,652487.35
"BHS","Bahamas","Small island developing states",FALSE,TRUE,1,649350.65,517974.18,1167324.83
"BIH","Bosnia-Herzegovina","Economies in transition",FALSE,FALSE,1,649350.65,494634.67,1143985.32
"BLR","Belarus","Economies in transition",FALSE,FALSE,1,649350.65,500657.12,1150007.77
"BLZ","Belize","Small island developing states",FALSE,TRUE,1,649350.65,782626.16,1431976.81
"BOL","Bolivia","Other developing countries",FALSE,FALSE,1,649350.65,661029.57,1310380.21
"BRA","Brazil","Other developing countries",FALSE,FALSE,1,649350.65,1216345.64,1865696.29
"BRB","Barbados","Small island developing states",FALSE,TRUE,1,649350.65,631338.68,1280689.33
"BRN","Brunei Darussalam","Other developing countries",FALSE,FALSE,1,649350.65,12985.88,662336.53
"BTN","Bhutan","Other developing countries",FALSE,FALSE,1,649350.65,800926.29,1450276.94
"BWA","Botswana","Other developing countries",FALSE,FALSE,1,649350.65,533513.09,1182863.74
"CAF","Central African Republic","Least developed countries",TRUE,FALSE,1,649350.65,858604.67,1507955.32
"CHL","Chile","Other developing countries",FALSE,FALSE,1,649350.65,118113.96,767464.61
"CHN","China","Other developing countries",FALSE,FALSE,1,649350.65,809318.96,1458669.6
"CIV","Cote d'Ivoire","Other developing countries",FALSE,FALSE,1,649350.65,616125.2,1265475.85
"CMR","Cameroon","Other developing countries",FALSE,FALSE,1,649350.65,860437.76,1509788.41
"COD","Dem. Rep.Congo","Least developed countries",TRUE,FALSE,1,649350.65,971879.93,1621230.58
"COG","Congo","Other developing countries",FALSE,FALSE,1,649350.65,705869,1355219.65
"COK","Cook Islands","Small island developing states",FALSE,TRUE,1,649350.65,778359.57,1427710.22
"COL","Colombia","Other developing countries",FALSE,FALSE,1,649350.65,910835.12,1560185.77
"COM","Comoros","Small island developing states",TRUE,TRUE,1,649350.65,785519.26,1434869.91
"CPV","Cabo Verde","Small island developing states",FALSE,TRUE,1,649350.65,801943.16,1451293.81
"CRI","Costa Rica","Other developing countries",FALSE,FALSE,1,649350.65,97096.98,746447.63
"CUB","Cuba","Small island developing states",FALSE,TRUE,1,649350.65,471499.44,1120850.09
"DJI","Djibouti","Least developed countries",TRUE,FALSE,1,649350.65,634449.69,1283800.34
"DMA","Dominica","Small island developing states",FALSE,TRUE,1,649350.65,772776.96,1422127.61
"DOM","Dominican Republic","Small island developing states",FALSE,TRUE,1,649350.65,531181.76,1180532.41
"DZA","Algeria","Other developing countries",FALSE,FALSE,1,649350.65,529741.72,1179092.37
"ECU","Ecuador","Other developing countries",FALSE,FALSE,1,649350.65,766077.43,1415428.08
"EGY","Egypt","Other developing countries",FALSE,FALSE,1,649350.65,421458.91,1070809.56
"ERI","Eritrea","Least developed countries",TRUE,FALSE,1,649350.65,791298.67,1440649.32
"ETH","Ethiopia","Least developed countries",TRUE,FALSE,1,649350.65,788660.1,1438010.75
"FJI","Fiji","Small island developing states",FALSE,TRUE,1,649350.65,673117.3,1322467.95
"FSM","Micronesia (Fed. States of)","Small island developing states",FALSE,TRUE,1,649350.65,807578.9,1456929.55
"GAB","Gabon","Other developing countries",FALSE,FALSE,1,649350.65,556234.99,1205585.64
"GEO","Georgia","Economies in transition",FALSE,FALSE,1,649350.65,654563.77,1303914.41
"GHA","Ghana","Other developing countries",FALSE,FALSE,1,649350.65,592499.64,1241850.29
"GIN","Guinea","Least developed countries",TRUE,FALSE,1,649350.65,692607.54,1341958.19
"GMB","Gambia","Least developed countries",TRUE,FALSE,1,649350.65,784539.73,1433890.38
"GNB","Guinea Bissau","Small island developing states",TRUE,TRUE,1,649350.65,799626.69,1448977.34
"GNQ","Equatorial Guinea","Other developing countries",FALSE,FALSE,1,649350.65,647359.85,1296710.49
"GRD","Grenada","Small island developing states",FALSE,TRUE,1,649350.65,770602.15,1419952.8
"GTM","Guatemala","Other developing countries",FALSE,FALSE,1,649350.65,615768.77,1265119.42
"GUY","Guyana","Small island developing states",FALSE,TRUE,1,649350.65,532423.24,1181773.89
"HND","Honduras","Other developing countries",FALSE,FALSE,1,649350.65,708903.03,1358253.68
"HTI","Haiti","Small island developing states",TRUE,TRUE,1,649350.65,678013.93,1327364.58
"IDN","Indonesia","Other developing countries",FALSE,FALSE,1,649350.65,1788814.24,2438164.89
"IND","India","Other developing countries",FALSE,FALSE,1,649350.65,1013462.26,1662812.91
"IRN","Iran (Islamic Republic of)","Other developing countries",FALSE,FALSE,1,649350.65,509022.48,1158373.13
"IRQ","Iraq","Other developing countries",FALSE,FALSE,1,649350.65,419861.32,1069211.97
"JAM","Jamaica","Small island developing states",FALSE,TRUE,1,649350.65,661093.52,1310444.17
"JOR","Jordan","Other developing countries",FALSE,FALSE,1,649350.65,498997.04,1148347.69
"KAZ","Kazakhstan","Economies in transition",FALSE,FALSE,1,649350.65,441092.41,1090443.06
"KEN","Kenya","Other developing countries",FALSE,FALSE,1,649350.65,632695.67,1282046.32
"KGZ","Kyrgyzstan","Economies in transition",FALSE,FALSE,1,649350.65,640763.5,1290114.15
"KHM","Cambodia","Least developed countries",TRUE,FALSE,1,649350.65,672967.16,1322317.81
"KIR","Kiribati","Small island developing states",TRUE,TRUE,1,649350.65,781758.99,1431109.64
"KNA","Saint Kitts and Nevis","Small island developing states",FALSE,TRUE,1,649350.65,766066.74,1415417.39
"KWT","Kuwait","Other developing countries",FALSE,FALSE,1,649350.65,6376.16,655726.81
"LAO","Lao People's Dem. Rep.","Least developed countries",TRUE,FALSE,1,649350.65,751840.26,1401190.91
