"ISO_A3","country_name","country_category","is_ldc","is_sids","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"LBN","Lebanon","Other developing countries",FALSE,FALSE,1,649350.65,495003.01,1144353.66
"LBR","Liberia","Least developed countries",TRUE,FALSE,1,649350.65,816458.68,1465809.33
"LBY","Libya","Other developing countries",FALSE,FALSE,1,649350.65,515116.35,1164467
"LCA","Saint Lucia","Small island developing states",FALSE,TRUE,1,649350.65,634020.62,1283371.27
"LKA","Sri Lanka","Other developing countries",FALSE,FALSE,1,649350.65,577759.7,1227110.35
"LSO","Lesotho","Least developed countries",TRUE,FALSE,1,649350.65,771663.22,1421013.87
"MAR","Morocco","Other developing countries",FALSE,FALSE,1,649350.65,523190.47,1172541.12
"MDA","Republic of Moldova","Economies in transition",FALSE,FALSE,1,649350.65,632916.24,1282266.89
"MDG","Madagascar","Least developed countries",TRUE,FALSE,1,649350.65,975058.04,1624408.69
"MDV","Maldives","Small island developing states",FALSE,TRUE,1,649350.65,636505.72,1285856.36
"MEX","Mexico","Other developing countries",FALSE,FALSE,1,649350.65,1050686.26,1700036.91
"MHL","Marshall Islands","Small island developing states",FALSE,TRUE,1,649350.65,780434.8,1429785.45
"MKD","North Macedonia","Economies in transition",FALSE,FALSE,1,649350.65,641161.7,1290512.35
"MLI","Mali","Least developed countries",TRUE,FALSE,1,649350.65,704848.06,1354198.71
"MMR","Myanmar","Least developed countries",TRUE,FALSE,1,649350.65,845224.8,1494575.45
"MNE","Montenegro","Economies in transition",FALSE,FALSE,1,649350.65,632574.42,1281925.07
"MNG","Mongolia","Other developing countries",FALSE,FALSE,1,649350.65,668624.35,1317975
"MOZ","Mozambique","Least developed countries",TRUE,FALSE,1,649350.65,728052.68,1377403.33
"MRT","Mauritania","Least developed countries",TRUE,FALSE,1,649350.65,644118,1293468.65
"MUS","Mauritius","Small island developing states",FALSE,TRUE,1,649350.65,648210.38,1297561.03
"MWI","Malawi","Least developed countries",TRUE,FALSE,1,649350.65,667405.99,1316756.64
"MYS","Malaysia","Other developing countries",FALSE,FALSE,1,649350.65,620517.66,1269868.31
"NAM","Namibia","Other developing countries",FALSE,FALSE,1,649350.65,702468.77,1351819.42
"NER","Niger","Least developed countries",TRUE,FALSE,1,649350.65,654148.63,1303499.28
"NGA","Nigeria","Other developing countries",FALSE,FALSE,1,649350.65,935423.66,1584774.31
"NIC","Nicaragua","Other developing countries",FALSE,FALSE,1,649350.65,671973.32,1321323.97
"NIU","Niue","Small island developing states",FALSE,TRUE,1,649350.65,766575.37,1415926.02
"NPL","Nepal","Least developed countries",TRUE,FALSE,1,649350.65,761412.4,1410763.05
"NRU","Nauru","Small island developing states",FALSE,TRUE,1,649350.65,769131.81,1418482.46
"OMN","Oman","Other developing countries",FALSE,FALSE,1,649350.65,40990.47,690341.12
"PAK","Pakistan","Other developing countries",FALSE,FALSE,1,649350.65,489287.08,1138637.73
"PAN","Panama","Other developing countries",FALSE,FALSE,1,649350.65,109151.44,758502.08
"PER","Peru","Other developing countries",FALSE,FALSE,1,649350.65,813060.24,1462410.89
"PHL","Philippines","Other developing countries",FALSE,FALSE,1,649350.65,791554.4,1440905.05
"PLW","Palau","Small island developing states",FALSE,TRUE,1,649350.65,780928.79,1430279.44
"PNG","Papua New Guinea","Small island developing states",FALSE,TRUE,1,649350.65,1654152.23,2303502.88
"PRK","Dem. People's Rep.Korea","Other developing countries",FALSE,FALSE,1,649350.65,634248.29,1283598.94
"PRY","Paraguay","Other developing countries",FALSE,FALSE,1,649350.65,533041.89,1182392.54
"PSE","State of Palestine","Other developing countries",FALSE,FALSE,1,649350.65,773195.93,1422546.58
"QAT","Qatar","Other developing countries",FALSE,FALSE,1,649350.65,2870.63,652221.28
"RUS","Russian Federation","Economies in transition",FALSE,FALSE,1,649350.65,306094.94,955445.59
"RWA","Rwanda","Least developed countries",TRUE,FALSE,1,649350.65,640926.23,1290276.88
"SAU","Saudi Arabia","Other developing countries",FALSE,FALSE,1,649350.65,60602.18,709952.83
"SDN","Sudan","Least developed countries",TRUE,FALSE,1,649350.65,736604.38,1385955.03
"SEN","Senegal","Least developed countries",TRUE,FALSE,1,649350.65,691325.51,1340676.16
"SGP","Singapore","Small island developing states",FALSE,TRUE,1,649350.65,389559.82,1038910.47
"SLB","Solomon Islands","Small island developing states",TRUE,TRUE,1,649350.65,886936.11,1536286.76
"SLE","Sierra Leone","Least developed countries",TRUE,FALSE,1,649350.65,799040.61,1448391.26
"SLV","El Salvador","Other developing countries",FALSE,FALSE,1,649350.65,501800.52,1151151.17
"SOM","Somalia","Least developed countries",TRUE,FALSE,1,649350.65,686107.82,1335458.47
"SRB","Serbia","Economies in transition",FALSE,FALSE,1,649350.65,502139.64,1151490.28
"SSD","South Sudan","Least developed countries",TRUE,FALSE,1,649350.65,716275.47,1365626.12
"STP","Sao Tome y Principe","Small island developing states",FALSE,TRUE,1,649350.65,786135.55,1435486.2
"SUR","Suriname","Small island developing states",FALSE,TRUE,1,649350.65,658911.1,1308261.75
"SWZ","Eswatini","Other developing countries",FALSE,FALSE,1,649350.65,630802.2,1280152.85
"SYC","Seychelles","Small island developing states",FALSE,TRUE,1,649350.65,653769.73,1303120.38
"SYR","Syrian Arab Republic","Other developing countries",FALSE,FALSE,1,649350.65,648529.7,1297880.35
"TCD","Chad","Least developed countries",TRUE,FALSE,1,649350.65,763462.17,1412812.82
"TGO","Togo","Least developed countries",TRUE,FALSE,1,649350.65,674608.84,1323959.49
"THA","Thailand","Other developing countries",FALSE,FALSE,1,649350.65,521236.2,1170586.85
"TJK","Tajikistan","Economies in transition",FALSE,FALSE,1,649350.65,646268.33,1295618.98
"TKM","Turkmenistan","Economies in transition",FALSE,FALSE,1,649350.65,506921.8,1156272.45
"TLS","Timor Leste","Small island developing states",TRUE,TRUE,1,649350.65,791784.29,1441134.94
"TON","Tonga","Small island developing states",FALSE,TRUE,1,649350.65,784611.27,1433961.92
"TTO","Trinidad and Tobago","Small island developing states",FALSE,TRUE,1,649350.65,506027.77,1155378.42
"TUN","Tunisia","Other developing countries",FALSE,FALSE,1,649350.65,507648.6,1156999.25
"TUR","Turkiye","Other developing countries",FALSE,FALSE,1,649350.65,477650.43,1127001.08
"TUV","Tuvalu","Small island developing states",TRUE,TRUE,1,649350.65,769310.39,1418661.04
"TZA","United Rep. Tanzania","Least developed countries",TRUE,FALSE,1,649350.65,903566.67,1552917.32
"UGA","Uganda","Least developed countries",TRUE,FALSE,1,649350.65,701487.73,1350838.38
"UKR","Ukraine","Economies in transition",FALSE,FALSE,1,649350.65,526608.07,1175958.72
"URY","Uruguay","Other developing countries",FALSE,FALSE,1,649350.65,24318.5,673669.15
"UZB","Uzbekistan","Economies in transition",FALSE,FALSE,1,649350.65,509211.13,1158561.78
"VCT","Saint Vincent & Grenadines","Small island developing states",FALSE,TRUE,1,649350.65,771346.58,1420697.23
"VEN","Venezuela","Other developing countries",FALSE,FALSE,1,649350.65,758101.88,1407452.53
"VNM","Viet Nam","Other developing countries",FALSE,FALSE,1,649350.65,585561.77,1234912.42
"VUT","Vanuatu","Small island developing states",FALSE,TRUE,1,649350.65,887683.91,1537034.56
"WSM","Samoa","Small island developing states",FALSE,TRUE,1,649350.65,773882.1,1423232.75
"YEM","Yemen","Least developed countries",TRUE,FALSE,1,649350.65,680899.68,1330250.33
"ZAF","South Africa","Other developing countries",FALSE,FALSE,1,649350.65,607709.12,1257059.77
"ZMB","Zambia","Least developed countries",TRUE,FALSE,1,649350.65,702904.33,1352254.98
"ZWE","Zimbabwe","Other developing countries",FALSE,FALSE,1,649350.65,670263.54,1319614.19
